GameN,Date,Year,Round,Region,Favored,Seed,Team,Conf,Score,AdjEM,Overtime,Winner,Result,Score.D,,
5,20-Mar-03,2003,1,WN,F,6,Missouri,B12,72,17.32,,Missouri,F,1,,
5,20-Mar-03,2003,1,WN,U,11,Southern Illinois,MVC,71,11.76,,Missouri,F,1,,
6,20-Mar-03,2003,1,WN,F,3,Marquette,CUSA,72,21.3,,Marquette,F,4,,
6,20-Mar-03,2003,1,WN,U,14,Holy Cross,Pat,68,10.4,,Marquette,F,4,,
7,21-Mar-03,2003,1,WN,F,10,Alabama,SEC,62,14.6,,Indiana,U,-5,,
7,21-Mar-03,2003,1,WN,U,7,Indiana,B10,67,14.48,,Indiana,U,-5,,
8,21-Mar-03,2003,1,WN,F,2,Pittsburgh,BE,87,28.61,,Pittsburgh,F,26,,
8,21-Mar-03,2003,1,WN,U,15,Wagner,NEC,61,-1.16,,Pittsburgh,F,26,,
9,20-Mar-03,2003,1,WS,F,1,Arizona,P10,80,26.8,,Arizona,F,29,,
9,20-Mar-03,2003,1,WS,U,16,Vermont,AE,51,1.57,,Arizona,F,29,,
10,20-Mar-03,2003,1,WS,F,9,Gonzaga,WCC,74,15.58,,Gonzaga,F,5,,
10,20-Mar-03,2003,1,WS,U,8,Cincinnati,CUSA,69,14.69,,Gonzaga,F,5,,
11,20-Mar-03,2003,1,WS,F,5,Notre Dame,BE,70,20.31,,Notre Dame,F,1,,
11,20-Mar-03,2003,1,WS,U,12,Milwaukee,Horz,69,12.97,,Notre Dame,F,1,,
12,20-Mar-03,2003,1,WS,F,4,Illinois,B10,65,24.47,,Illinois,F,5,,
12,20-Mar-03,2003,1,WS,U,13,Western Kentucky,SB,60,11.75,,Illinois,F,5,,
13,20-Mar-03,2003,1,WS,F,6,Creighton,MVC,73,17.54,,Central Michigan,U,-6,,
13,20-Mar-03,2003,1,WS,U,11,Central Michigan,MAC,79,10.01,,Central Michigan,U,-6,,
14,20-Mar-03,2003,1,WS,F,3,Duke,ACC,67,23.75,,Duke,F,10,,
14,20-Mar-03,2003,1,WS,U,14,Colorado St.,MWC,57,5.96,,Duke,F,10,,
15,20-Mar-03,2003,1,WS,F,7,Memphis,CUSA,71,16.72,,Arizona St.,U,-13,,
15,20-Mar-03,2003,1,WS,U,10,Arizona St.,P10,84,16.49,,Arizona St.,U,-13,,
16,20-Mar-03,2003,1,WS,F,2,Kansas,B12,64,28.62,,Kansas,F,3,,
16,20-Mar-03,2003,1,WS,U,15,Utah St.,BW,61,7.41,,Kansas,F,3,,
17,21-Mar-03,2003,1,EN,F,1,Texas,B12,82,23.49,,Texas,F,21,,
17,21-Mar-03,2003,1,EN,U,16,UNC Asheville,BSth,61,-12.35,,Texas,F,21,,
18,21-Mar-03,2003,1,EN,F,8,LSU,SEC,56,18.15,,Purdue,U,-24,,
18,21-Mar-03,2003,1,EN,U,9,Purdue,B10,80,17.42,,Purdue,U,-24,,
19,20-Mar-03,2003,1,EN,F,5,Connecticut,BE,58,19.54,,Connecticut,F,5,,
19,20-Mar-03,2003,1,EN,U,12,BYU,MWC,53,17.68,,Connecticut,F,5,,
20,20-Mar-03,2003,1,EN,F,4,Stanford,P10,77,14.57,,Stanford,F,8,,
20,20-Mar-03,2003,1,EN,U,13,San Diego,WCC,69,8.32,,Stanford,F,8,,
21,21-Mar-03,2003,1,EN,F,6,Maryland,ACC,75,22,,Maryland,F,2,,
21,21-Mar-03,2003,1,EN,U,11,UNC Wilmington,CAA,73,14.62,,Maryland,F,2,,
22,21-Mar-03,2003,1,EN,F,3,Xavier,A10,71,19.88,,Xavier,F,12,,
22,21-Mar-03,2003,1,EN,U,14,Troy,ASun,59,0.7,,Xavier,F,12,,
23,21-Mar-03,2003,1,EN,F,7,Michigan St.,B10,79,20.26,,Michigan St.,F,15,,
23,21-Mar-03,2003,1,EN,U,10,Colorado,B12,64,15.27,,Michigan St.,F,15,,
24,21-Mar-03,2003,1,EN,F,2,Florida,SEC,85,22.14,,Florida,F,30,,
24,21-Mar-03,2003,1,EN,U,15,Sam Houston St.,Slnd,55,0.82,,Florida,F,30,,
25,20-Mar-03,2003,1,ES,F,1,Oklahoma,B12,71,23.01,,Oklahoma,F,17,,
25,20-Mar-03,2003,1,ES,U,16,South Carolina St.,MEAC,54,-8.59,,Oklahoma,F,17,,
26,20-Mar-03,2003,1,ES,F,8,California,P10,76,13.59,1 OT,California,F,2,,
26,20-Mar-03,2003,1,ES,U,9,North Carolina St.,ACC,74,13.18,1 OT,California,F,2,,
27,21-Mar-03,2003,1,ES,F,5,Mississippi St.,SEC,46,21.53,,Butler,U,-1,,
27,21-Mar-03,2003,1,ES,U,12,Butler,Horz,47,16.09,,Butler,U,-1,,
28,21-Mar-03,2003,1,ES,F,4,Louisville,CUSA,86,22.75,,Louisville,F,22,,
28,21-Mar-03,2003,1,ES,U,13,Austin Peay,OVC,64,2.65,,Louisville,F,22,,
29,21-Mar-03,2003,1,ES,F,6,Oklahoma St.,B12,77,17.67,,Oklahoma St.,F,14,,
29,21-Mar-03,2003,1,ES,U,11,Penn,Ivy,63,13.35,,Oklahoma St.,F,14,,
30,21-Mar-03,2003,1,ES,F,3,Syracuse,BE,76,23.28,,Syracuse,F,11,,
30,21-Mar-03,2003,1,ES,U,14,Manhattan,MAAC,65,10.04,,Syracuse,F,11,,
31,21-Mar-03,2003,1,ES,F,7,Saint Joseph's,A10,63,20.75,1 OT,Auburn,U,-2,,
31,21-Mar-03,2003,1,ES,U,10,Auburn,SEC,65,13.63,1 OT,Auburn,U,-2,,
32,21-Mar-03,2003,1,ES,F,2,Wake Forest,ACC,76,19.87,,Wake Forest,F,3,,
32,21-Mar-03,2003,1,ES,U,15,East Tennessee St.,SC,73,1.75,,Wake Forest,F,3,,
33,23-Mar-03,2003,2,WN,F,1,Kentucky,SEC,74,29.18,,Kentucky,F,20,,
33,23-Mar-03,2003,2,WN,U,9,Utah,MWC,54,14.04,,Kentucky,F,20,,
34,22-Mar-03,2003,2,WN,F,5,Wisconsin,B10,61,22.07,,Wisconsin,F,1,,
34,22-Mar-03,2003,2,WN,U,13,Tulsa,WAC,60,13.04,,Wisconsin,F,1,,
35,22-Mar-03,2003,2,WN,F,3,Marquette,CUSA,101,21.3,1 OT,Marquette,F,9,,
35,22-Mar-03,2003,2,WN,U,6,Missouri,B12,92,17.32,1 OT,Marquette,F,9,,
36,23-Mar-03,2003,2,WN,F,2,Pittsburgh,BE,74,28.61,,Pittsburgh,F,22,,
36,23-Mar-03,2003,2,WN,U,7,Indiana,B10,52,14.48,,Pittsburgh,F,22,,
37,22-Mar-03,2003,2,WS,F,1,Arizona,P10,96,26.8,2 OT,Arizona,F,1,,
37,22-Mar-03,2003,2,WS,U,9,Gonzaga,WCC,95,15.58,2 OT,Arizona,F,1,,
38,22-Mar-03,2003,2,WS,F,4,Illinois,B10,60,24.47,,Notre Dame,U,-8,,
38,22-Mar-03,2003,2,WS,U,5,Notre Dame,BE,68,20.31,,Notre Dame,U,-8,,
39,22-Mar-03,2003,2,WS,F,3,Duke,ACC,86,23.75,,Duke,F,26,,
39,22-Mar-03,2003,2,WS,U,11,Central Michigan,MAC,60,10.01,,Duke,F,26,,
40,22-Mar-03,2003,2,WS,F,2,Kansas,B12,108,28.62,,Kansas,F,32,,
40,22-Mar-03,2003,2,WS,U,10,Arizona St.,P10,76,16.49,,Kansas,F,32,,
41,23-Mar-03,2003,2,EN,F,1,Texas,B12,77,23.49,,Texas,F,10,,
41,23-Mar-03,2003,2,EN,U,9,Purdue,B10,67,17.42,,Texas,F,10,,
42,22-Mar-03,2003,2,EN,F,5,Connecticut,BE,85,19.54,,Connecticut,F,11,,
42,22-Mar-03,2003,2,EN,U,4,Stanford,P10,74,14.57,,Connecticut,F,11,,
43,23-Mar-03,2003,2,EN,F,6,Maryland,ACC,77,22,,Maryland,F,13,,
43,23-Mar-03,2003,2,EN,U,3,Xavier,A10,64,19.88,,Maryland,F,13,,
44,23-Mar-03,2003,2,EN,F,2,Florida,SEC,46,22.14,,Michigan St.,U,-22,,
44,23-Mar-03,2003,2,EN,U,7,Michigan St.,B10,68,20.26,,Michigan St.,U,-22,,
45,22-Mar-03,2003,2,ES,F,1,Oklahoma,B12,74,23.01,,Oklahoma,F,9,,
45,22-Mar-03,2003,2,ES,U,8,California,P10,65,13.59,,Oklahoma,F,9,,
46,23-Mar-03,2003,2,ES,F,4,Louisville,CUSA,71,22.75,,Butler,U,-8,,
46,23-Mar-03,2003,2,ES,U,12,Butler,Horz,79,16.09,,Butler,U,-8,,
47,23-Mar-03,2003,2,ES,F,3,Syracuse,BE,68,23.28,,Syracuse,F,12,,
47,23-Mar-03,2003,2,ES,U,6,Oklahoma St.,B12,56,17.67,,Syracuse,F,12,,
48,23-Mar-03,2003,2,ES,F,2,Wake Forest,ACC,62,19.87,,Auburn,U,-6,,
48,23-Mar-03,2003,2,ES,U,10,Auburn,SEC,68,13.63,,Auburn,U,-6,,
49,27-Mar-03,2003,3,WN,F,1,Kentucky,SEC,63,29.18,,Kentucky,F,6,,
49,27-Mar-03,2003,3,WN,U,5,Wisconsin,B10,57,22.07,,Kentucky,F,6,,
50,27-Mar-03,2003,3,WN,F,2,Pittsburgh,BE,74,28.61,,Marquette,U,-3,,
50,27-Mar-03,2003,3,WN,U,3,Marquette,CUSA,77,21.3,,Marquette,U,-3,,
51,27-Mar-03,2003,3,WS,F,1,Arizona,P10,88,26.8,,Arizona,F,17,,
51,27-Mar-03,2003,3,WS,U,5,Notre Dame,BE,71,20.31,,Arizona,F,17,,
52,27-Mar-03,2003,3,WS,F,2,Kansas,B12,69,28.62,,Kansas,F,4,,
52,27-Mar-03,2003,3,WS,U,3,Duke,ACC,65,23.75,,Kansas,F,4,,
