"longv","latv","UTME","UTMN","gz","hem","mgrs"
1.99966666666667,-48.7395868296749,"426453","4601010","31","S","31FDG2645301010"
3.33277777777778,-48.6940191719922,"524489","4606504","31","S","31FEG2448906504"
4.66588888888889,-48.6484515143095,"622700","4610284","31","S","31FFG2270010284"
5.999,-48.6028838566268,"721080","4612346","31","S","31FGG2108012346"
-5.999,-48.5573161989442,"278721","4617410","30","S","30FTM7872117410"
-4.66588888888889,-48.5117485412615,"376968","4625478","30","S","30FUM7696825478"
-3.33277777777778,-48.4661808835788,"475401","4631830","30","S","30FVM7540131830"
-1.99966666666667,-48.4206132258961,"574011","4636465","30","S","30FWM7401136465"
-0.666555555555555,-48.3750455682134,"672794","4639383","30","S","30FXM7279439383"
0.666555555555556,-48.3294779105307,"327052","4644447","31","S","31FCG2705244447"
1.99966666666667,-48.283910252848,"425790","4651660","31","S","31FDG2579051660"
3.33277777777778,-48.2383425951653,"524709","4657155","31","S","31FEG2470957155"
4.66588888888889,-48.1927749374826,"623802","4660931","31","S","31FFG2380260931"
5.999,-48.1472072797999,"723064","4662988","31","S","31FGG2306462988"
-5.999,-48.1016396221173,"276739","4668052","30","S","30FTM7673968052"
-4.66588888888889,-48.0560719644346,"375869","4676125","30","S","30FUM7586976125"
-3.33277777777778,-48.0105043067519,"475181","4682479","30","S","30FVM7518182479"
-1.99966666666667,-47.9649366490692,"574671","4687113","30","S","30GWM7467187113"
-0.666555555555555,-47.9193689913865,"674331","4690026","30","S","30GXM7433190026"
0.666555555555556,-47.8738013337038,"325516","4695090","31","S","31GCG2551695090"
1.99966666666667,-47.8282336760211,"425133","4702306","31","S","31GDH2513302306"
3.33277777777778,-47.7826660183384,"524928","4707801","31","S","31GEH2492807801"
4.66588888888889,-47.7370983606557,"624896","4711576","31","S","31GFH2489611576"
5.999,-47.691530702973,"725033","4713627","31","S","31GGH2503313627"
-5.999,-47.6459630452904,"274771","4718690","30","S","30GTN7477118690"
-4.66588888888889,-47.6003953876077,"374777","4726768","30","S","30GUN7477726768"
-3.33277777777778,-47.554827729925,"474963","4733123","30","S","30GVN7496333123"
-1.99966666666667,-47.5092600722423,"575325","4737756","30","S","30GWN7532537756"
-0.666555555555555,-47.4636924145596,"675857","4740666","30","S","30GXN7585740666"
0.666555555555556,-47.4181247568769,"323991","4745730","31","S","31GCH2399145730"
1.99966666666667,-47.3725570991942,"424480","4752948","31","S","31GDH2448052948"
3.33277777777778,-47.3269894415115,"525145","4758444","31","S","31GEH2514558444"
4.66588888888889,-47.2814217838288,"625982","4762216","31","S","31GFH2598262216"
5.999,-47.2358541261462,"726987","4764262","31","S","31GGH2698764262"
-5.999,-47.1902864684635,"272818","4769326","30","S","30GTN7281869326"
-4.66588888888889,-47.1447188107808,"373694","4777407","30","S","30GUN7369477407"
-3.33277777777778,-47.0991511530981,"474747","4783764","30","S","30GVN7474783764"
-1.99966666666667,-47.0535834954154,"575975","4788396","30","S","30GWN7597588396"
-0.666555555555555,-47.0080158377327,"677372","4791302","30","S","30GXN7737291302"
