Date,Year,Round,Region,Game #,W.Seed,Winner,W. Score,L. Seed,Loser,L.Score
3/21/1986,1986,3,NE,53,1,Duke,74,12,DePaul,67
3/21/1986,1986,3,NE,54,7,Navy,71,14,Cleveland St.,70
3/21/1986,1986,3,SE,55,1,Kansas,96,5,Michigan St.,86
3/21/1986,1986,3,SE,56,6,North Carolina St.,70,7,Iowa St.,66
3/22/1986,1986,4,NW,57,11,LSU,59,1,Kentucky,57
3/22/1986,1986,4,SW,58,2,Louisville,84,8,Auburn,76
3/23/1986,1986,4,NE,59,1,Duke,71,7,Navy,50
3/23/1986,1986,4,SE,60,1,Kansas,75,6,North Carolina St.,67
3/29/1986,1986,5,F4,61,2,Louisville,88,11,LSU,77
3/29/1986,1986,5,F4,62,1,Duke,71,1,Kansas,67
3/31/1986,1986,6,Champ,63,2,Louisville,72,1,Duke,69
3/12/1987,1987,1,NW,1,1,UNLV,95,16,Idaho St.,70
3/12/1987,1987,1,NW,2,9,Kansas St.,82,8,Georgia,79
3/12/1987,1987,1,NW,3,12,Wyoming,64,5,Virginia,60
3/12/1987,1987,1,NW,4,4,UCLA,92,13,Central Michigan,73
3/13/1987,1987,1,NW,5,6,Oklahoma,74,11,Tulsa,69
3/13/1987,1987,1,NW,6,3,Pittsburgh,93,14,Marist,68
3/13/1987,1987,1,NW,7,7,UTEP,98,10,Arizona,91
3/13/1987,1987,1,NW,8,2,Iowa,99,15,Santa Clara,76
3/12/1987,1987,1,SW,9,1,Indiana,92,16,Fairfield,58
3/12/1987,1987,1,SW,10,8,Auburn,62,9,San Diego,61
3/12/1987,1987,1,SW,11,5,Duke,58,12,Texas A&M,51
3/12/1987,1987,1,SW,12,13,Xavier,70,4,Missouri,69
3/13/1987,1987,1,SW,13,6,St. John's,57,11,Wichita St.,55
3/13/1987,1987,1,SW,14,3,DePaul,76,14,Louisiana Tech,62
3/13/1987,1987,1,SW,15,10,LSU,85,7,Georgia Tech,79
3/13/1987,1987,1,SW,16,2,Temple,75,15,Southern,56
3/13/1987,1987,1,NE,17,1,Georgetown,75,16,Bucknell,53
3/13/1987,1987,1,NE,18,9,Ohio St.,91,8,Kentucky,77
3/13/1987,1987,1,NE,19,5,Kansas,66,12,Houston,55
3/13/1987,1987,1,NE,20,13,Missouri St.,65,4,Clemson,60
3/12/1987,1987,1,NE,21,6,Providence,90,11,UAB,68
3/12/1987,1987,1,NE,22,14,Austin Peay,68,3,Illinois,67
3/12/1987,1987,1,NE,23,7,New Orleans,83,10,BYU,79
3/12/1987,1987,1,NE,24,2,Alabama,88,15,North Carolina A&T,71
3/12/1987,1987,1,SE,25,1,North Carolina,113,16,Penn,82
3/12/1987,1987,1,SE,26,9,Michigan,97,8,Navy,82
3/12/1987,1987,1,SE,27,5,Notre Dame,84,12,Middle Tennessee,71
3/12/1987,1987,1,SE,28,4,TCU,76,13,Marshall,60
3/13/1987,1987,1,SE,29,6,Florida,82,11,North Carolina St.,70
3/13/1987,1987,1,SE,30,3,Purdue,104,14,Northeastern,95
3/13/1987,1987,1,SE,31,10,Western Kentucky,64,7,West Virginia,62
3/13/1987,1987,1,SE,32,2,Syracuse,79,15,Georgia Southern,73
3/14/1987,1987,2,NW,33,1,UNLV,80,9,Kansas St.,61
3/14/1987,1987,2,NW,34,12,Wyoming,78,4,UCLA,68
3/15/1987,1987,2,NW,35,6,Oklahoma,96,3,Pittsburgh,93
3/15/1987,1987,2,NW,36,2,Iowa,84,7,UTEP,82
3/14/1987,1987,2,SW,37,1,Indiana,107,8,Auburn,90
3/14/1987,1987,2,SW,38,5,Duke,65,13,Xavier,60
3/15/1987,1987,2,SW,39,3,DePaul,83,6,St. John's,75
3/15/1987,1987,2,SW,40,10,LSU,72,2,Temple,62
3/15/1987,1987,2,NE,41,1,Georgetown,82,9,Ohio St.,79
3/15/1987,1987,2,NE,42,5,Kansas,67,13,Missouri St.,63
3/14/1987,1987,2,NE,43,6,Providence,90,14,Austin Peay,87
3/14/1987,1987,2,NE,44,2,Alabama,101,7,New Orleans,76
3/14/1987,1987,2,SE,45,1,North Carolina,109,9,Michigan,97
3/14/1987,1987,2,SE,46,5,Notre Dame,58,4,TCU,57
3/15/1987,1987,2,SE,47,6,Florida,85,3,Purdue,66
3/15/1987,1987,2,SE,48,2,Syracuse,104,10,Western Kentucky,86
3/20/1987,1987,3,NW,49,1,UNLV,92,12,Wyoming,78
3/20/1987,1987,3,NW,50,2,Iowa,93,6,Oklahoma,91
3/20/1987,1987,3,SW,51,1,Indiana,88,5,Duke,82
3/20/1987,1987,3,SW,52,10,LSU,63,3,DePaul,58
3/19/1987,1987,3,NE,53,1,Georgetown,70,5,Kansas,57
3/19/1987,1987,3,NE,54,6,Providence,103,2,Alabama,82
3/19/1987,1987,3,SE,55,1,North Carolina,74,5,Notre Dame,68
