GameN,Date,Year,Round,Region,Favored,Seed,Team,Conf,Score,Winner,Result
59,24-Mar-2012,2012,4,C,U,2,Ohio State,Big Ten,77,Ohio State,U
60,25-Mar-2012,2012,4,D,F,1,North Carolina,ACC,67,Kansas,U
60,25-Mar-2012,2012,4,D,U,2,Kansas,Big 12,80,Kansas,U
61,31-Mar-2012,2012,5,E,F,2,Ohio State,Big Ten,62,Kansas,U
61,31-Mar-2012,2012,5,E,U,2,Kansas,Big 12,64,Kansas,U
62,31-Mar-2012,2012,5,F,F,1,Kentucky,SEC,69,Kentucky,F
62,31-Mar-2012,2012,5,F,U,4,Louisville,ACC,61,Kentucky,F
63,02-Apr-2012,2012,6,G,F,1,Kentucky,SEC,67,Kentucky,F
63,02-Apr-2012,2012,6,G,U,2,Kansas,Big 12,59,Kentucky,F
-2,13-Mar-2012,2012,PI,A,F,16,Western Kentucky,CUSA,59,Western Kentucky,F
-2,13-Mar-2012,2012,PI,A,U,16,Mississippi Valley State,SWAC,58,Western Kentucky,F
-1,13-Mar-2012,2012,PI,B,F,14,Brigham Young,WCC,78,Brigham Young,F
-1,13-Mar-2012,2012,PI,B,U,14,Iona,MAAC,72,Brigham Young,F
-4,14-Mar-2012,2012,PI,D,F,12,University of California,Pac-12,54,South Florida,U
-4,14-Mar-2012,2012,PI,D,U,12,South Florida,AAC,65,South Florida,U
-3,14-Mar-2012,2012,PI,D,F,16,Lamar,Southland,59,Vermont,U
-3,14-Mar-2012,2012,PI,D,U,16,Vermont,AEC,71,Vermont,U
1,21-Mar-2013,2013,1,A,F,1,Louisville,ACC,79,Louisville,F
1,21-Mar-2013,2013,1,A,U,16,North Carolina A&T,MEAC,48,Louisville,F
2,21-Mar-2013,2013,1,A,F,8,Colorado State,MWC,84,Colorado State,F
2,21-Mar-2013,2013,1,A,U,9,Missouri,SEC,72,Colorado State,F
3,21-Mar-2013,2013,1,A,F,5,Oklahoma State,Big 12,55,Oregon,U
3,21-Mar-2013,2013,1,A,U,12,Oregon,Pac-12,68,Oregon,U
4,21-Mar-2013,2013,1,A,F,4,Saint Louis,A-10,64,Saint Louis,F
4,21-Mar-2013,2013,1,A,U,13,New Mexico State,WAC,44,Saint Louis,F
5,21-Mar-2013,2013,1,A,F,6,Memphis,AAC,54,Memphis,F
5,21-Mar-2013,2013,1,A,U,11,Saint Mary's (CA),WCC,52,Memphis,F
6,21-Mar-2013,2013,1,A,F,3,Michigan State,Big Ten,65,Michigan State,F
6,21-Mar-2013,2013,1,A,U,14,Valparaiso,MVC,54,Michigan State,F
7,22-Mar-2013,2013,1,A,F,7,Creighton,Big East,67,Creighton,F
7,22-Mar-2013,2013,1,A,U,10,Cincinnati,AAC,63,Creighton,F
8,22-Mar-2013,2013,1,A,F,2,Duke,ACC,73,Duke,F
8,22-Mar-2013,2013,1,A,U,15,Albany (NY),AEC,61,Duke,F
9,21-Mar-2013,2013,1,B,F,1,Gonzaga,WCC,64,Gonzaga,F
9,21-Mar-2013,2013,1,B,U,16,Southern,SWAC,58,Gonzaga,F
10,21-Mar-2013,2013,1,B,F,8,Pittsburgh,ACC,55,Wichita State,U
10,21-Mar-2013,2013,1,B,U,9,Wichita State,AAC,73,Wichita State,U
11,22-Mar-2013,2013,1,B,F,5,Wisconsin,Big Ten,46,Mississippi,U
11,22-Mar-2013,2013,1,B,U,12,Mississippi,SEC,57,Mississippi,U
12,22-Mar-2013,2013,1,B,F,4,Kansas State,Big 12,61,La Salle,U
12,22-Mar-2013,2013,1,B,U,13,La Salle,A-10,63,La Salle,U
13,21-Mar-2013,2013,1,B,F,6,Arizona,Pac-12,81,Arizona,F
13,21-Mar-2013,2013,1,B,U,11,Belmont,OVC,64,Arizona,F
14,21-Mar-2013,2013,1,B,F,3,New Mexico,MWC,62,Harvard,U
14,21-Mar-2013,2013,1,B,U,14,Harvard,Ivy,68,Harvard,U
15,22-Mar-2013,2013,1,B,F,7,Iowa State,Big 12,76,Iowa State,F
15,22-Mar-2013,2013,1,B,U,10,Notre Dame,ACC,58,Iowa State,F
16,22-Mar-2013,2013,1,B,F,2,Ohio State,Big Ten,95,Ohio State,F
16,22-Mar-2013,2013,1,B,U,15,Iona,MAAC,70,Ohio State,F
17,22-Mar-2013,2013,1,C,F,1,Kansas,Big 12,64,Kansas,F
17,22-Mar-2013,2013,1,C,U,16,Western Kentucky,CUSA,57,Kansas,F
18,22-Mar-2013,2013,1,C,F,8,North Carolina,ACC,78,North Carolina,F
18,22-Mar-2013,2013,1,C,U,9,Villanova,Big East,71,North Carolina,F
19,21-Mar-2013,2013,1,C,F,5,Virginia Commonwealth,A-10,88,Virginia Commonwealth,F
19,21-Mar-2013,2013,1,C,U,12,Akron,MAC (East),42,Virginia Commonwealth,F
20,21-Mar-2013,2013,1,C,F,4,Michigan,Big Ten,71,Michigan,F
20,21-Mar-2013,2013,1,C,U,13,South Dakota State,Summit,56,Michigan,F
21,22-Mar-2013,2013,1,C,F,6,UCLA,Pac-12,63,Minnesota,U
21,22-Mar-2013,2013,1,C,U,11,Minnesota,Big Ten,83,Minnesota,U
22,22-Mar-2013,2013,1,C,F,3,Florida,SEC,79,Florida,F
22,22-Mar-2013,2013,1,C,U,14,Northwestern State,Southland,47,Florida,F
23,22-Mar-2013,2013,1,C,F,7,San Diego State,MWC,70,San Diego State,F
23,22-Mar-2013,2013,1,C,U,10,Oklahoma,Big 12,55,San Diego State,F
24,22-Mar-2013,2013,1,C,F,2,Georgetown,Big East,68,Florida Gulf Coast,U
24,22-Mar-2013,2013,1,C,U,15,Florida Gulf Coast,A-Sun,78,Florida Gulf Coast,U
25,22-Mar-2013,2013,1,D,F,1,Indiana,Big Ten,83,Indiana,F
25,22-Mar-2013,2013,1,D,U,16,James Madison,CAA,62,Indiana,F
26,22-Mar-2013,2013,1,D,F,8,North Carolina State,ACC,72,Temple,U
26,22-Mar-2013,2013,1,D,U,9,Temple,AAC,76,Temple,U
27,21-Mar-2013,2013,1,D,F,5,Nevada-Las Vegas,MWC,61,University of California,U
27,21-Mar-2013,2013,1,D,U,12,University of California,Pac-12,64,University of California,U
28,21-Mar-2013,2013,1,D,F,4,Syracuse,ACC,81,Syracuse,F
28,21-Mar-2013,2013,1,D,U,13,Montana,Big Sky,34,Syracuse,F
29,21-Mar-2013,2013,1,D,F,6,Butler,Big East,68,Butler,F
29,21-Mar-2013,2013,1,D,U,11,Bucknell,Patriot,56,Butler,F
