TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
2/24/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:38460937482;
2/28/2020,Dividend,MF,SVAAX,0,5.02,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
2/28/2020,Dividend,MF,SVAAX,0.967,-5.02,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
3/2/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:39034528482;
3/3/2020,Transfer,UNKNOWN, ,0,1000,0,0,TRANSFER FROM XXXXXX2340      REFID:39203459482;
3/4/2020,Bought,MF,BMGAX,9.318,-250,26.83,0,BLACKROCK MID-CAP GROWTH EQUITBLACKROCK                     
3/4/2020,Bought,MF,DXQLX,7.607,-250,32.8626,0,DIREXION MTHLY NASDAQ-100 BULLDIREXION FUNDS                
3/4/2020,Bought,MF,DXSLX,8.142,-250,30.7041,0,DIREXION MTHLY S&P 500 BULL 2XDIREXION FUNDS                
3/4/2020,Bought,MF,INPIX,2.691,-250,92.89,0,PROFUNDS INTERNET ULTRASECTOR PROFUNDS                      
3/4/2020,Bought,MF,ROGSX,8.361,-250,29.9,0,RED OAK TECHNOLOGY SELECT     OAK ASSOCIATES                
3/4/2020,Bought,MF,TEPSX,5.051,-250,49.5,0,PROFUNDS TECHNOLOGY ULTRASECTOPROFUNDS                      
3/4/2020,Bought,MF,ULPIX,3.419,-250,73.12,0,PROFUNDS ULTRABULL INV        PROFUNDS                      
3/4/2020,Bought,MF,UOPIX,2.685,-250,93.1,0,PROFUNDS ULTRANASDAQ-100 INV  PROFUNDS                      
3/4/2020,Contribution,EQ, ,0,0,0,0,$ 1000.00 CONTRIBUTION 2020             REFID:39203518482;
3/4/2020,Contribution,UNKNOWN, ,0,1000,0,0,ACH DEPOSIT                   REFID:39203518482;
3/5/2020,Bought,MF,BGAFX,3.272,-100,30.56,0,BARON GLOBAL ADVANTAGE RETAIL BARON CAPITAL GROUP           
3/5/2020,Bought,MF,BGAFX,9.817,-300,30.56,0,BARON GLOBAL ADVANTAGE RETAIL BARON CAPITAL GROUP           
3/5/2020,Bought,MF,MFEGX,0.843,-100,118.6,0,MFS GROWTH A                  MFS                           
3/5/2020,Bought,MF,ROGSX,3.455,-100,28.94,0,RED OAK TECHNOLOGY SELECT     OAK ASSOCIATES                
3/5/2020,Bought,MF,RYOCX,11.338,-500,44.1,0,RYDEX NASDAQ-100?? INV         Rydex Funds                  
3/5/2020,Bought,MF,SMPIX,1.917,-100,52.17,0,PROFUNDS SEMICONDUCTOR ULTRASEPROFUNDS                      
3/5/2020,Sold,MF,ETGLX,-2.515,100,39.76,0,EVENTIDE GILEAD N             EVENTIDE FUNDS                
3/5/2020,Sold,MF,GOLDX,-5.952,100,16.8,0,GABELLI GOLD AAA              GABELLI                       
3/5/2020,Sold,MF,OBCHX,-7.831,100,12.77,0,OBERWEIS CHINA OPPORTUNITIES  OBERWEIS                      
3/5/2020,Transfer,UNKNOWN, ,0,1000,0,0,TRANSFER FROM XXXXXX2340      REFID:39353723482;
3/6/2020,Bought,MF,BPTRX,1.372,-100,72.86,0,BARON PARTNERS RETAIL         BARON CAPITAL GROUP           
3/6/2020,Bought,MF,DXQLX,6.681,-200,29.9371,0,DIREXION MTHLY NASDAQ-100 BULLDIREXION FUNDS                
3/6/2020,Bought,MF,INPIX,1.156,-100,86.51,0,PROFUNDS INTERNET ULTRASECTOR PROFUNDS                      
3/6/2020,Bought,MF,LDVAX,4.753,-100,21.04,0,LELAND THOMSON REUTERS VNTR CPLELAND FUNDS                  
3/6/2020,Bought,MF,PGTAX,2.295,-100,43.58,0,PUTNAM GLOBAL TECHNOLOGY A    PUTNAM                        
3/6/2020,Bought,MF,RMQHX,0.569,-100,175.84,0,RYDEX MONTHLY RBL NASDAQ-100????Rydex Funds                 
3/6/2020,Bought,MF,ROGSX,7.038,-200.01,28.42,0,RED OAK TECHNOLOGY SELECT     OAK ASSOCIATES                
3/6/2020,Bought,MF,SMPIX,3.959,-200,50.52,0,PROFUNDS SEMICONDUCTOR ULTRASEPROFUNDS                      
3/6/2020,Bought,MF,TEPSX,2.196,-100,45.53,0,PROFUNDS TECHNOLOGY ULTRASECTOPROFUNDS                      
3/6/2020,Bought,MF,UOPIX,2.367,-200,84.49,0,PROFUNDS ULTRANASDAQ-100 INV  PROFUNDS                      
3/6/2020,Contribution,EQ, ,0,0,0,0,$ 500.00 CONTRIBUTION 2020             REFID:39445932482;
3/6/2020,Contribution,UNKNOWN, ,0,500,0,0,ACH DEPOSIT                   REFID:39445932482;
3/6/2020,Transfer,UNKNOWN, ,0,102,0,0,TRANSFER FROM XXXXXX2340      REFID:39445798482;
3/9/2020,Bought,MF,BGAFX,3.622,-100,27.61,0,BARON GLOBAL ADVANTAGE RETAIL BARON CAPITAL GROUP           
3/9/2020,Bought,MF,DXQLX,3.868,-100,25.8562,0,DIREXION MTHLY NASDAQ-100 BULLDIREXION FUNDS                
3/9/2020,Bought,MF,ROGSX,3.781,-100,26.45,0,RED OAK TECHNOLOGY SELECT     OAK ASSOCIATES                
3/9/2020,Bought,MF,RYOCX,2.475,-100,40.41,0,RYDEX NASDAQ-100?? INV         Rydex Funds                  
3/9/2020,Bought,MF,SMPIX,2.265,-100,44.15,0,PROFUNDS SEMICONDUCTOR ULTRASEPROFUNDS                      
