GameN,Date,Year,Round,Region,F.Seed,F.Team,F.Conf,F.Score,F.AdjEM,U.Seed,U.Team,U.Conf,U.Score,U.AdjEM,Overtime,W.Team,Result,Score.D
,21-Mar-03,2003,1,Midwest,8,Oregon,P10,58,14.25,9,Utah,MWC,60,14.04,,Utah,U,-2
,20-Mar-03,2003,1,South,4,Stanford,P10,77,14.57,13,San Diego,WCC,69,8.32,,Stanford,F,8
,20-Mar-03,2003,1,South,5,Connecticut,BE,58,19.54,12,BYU,MWC,53,17.68,,Connecticut,F,5
,21-Mar-03,2003,1,South,1,Texas,B12,82,23.49,16,UNC Asheville,BSth,61,-12.35,,Texas,F,21
,21-Mar-03,2003,1,South,2,Florida,SEC,85,22.14,15,Sam Houston St.,Slnd,55,0.82,,Florida,F,30
,21-Mar-03,2003,1,South,3,Xavier,A10,71,19.88,14,Troy,ASun,59,0.7,,Xavier,F,12
,21-Mar-03,2003,1,South,6,Maryland,ACC,75,22,11,UNC Wilmington,CAA,73,14.62,,Maryland,F,2
,21-Mar-03,2003,1,South,7,Michigan St.,B10,79,20.26,10,Colorado,B12,64,15.27,,Michigan St.,F,15
,21-Mar-03,2003,1,South,8,LSU,SEC,56,18.15,9,Purdue,B10,80,17.42,,Purdue,U,-24
,20-Mar-03,2003,1,West,6,Creighton,MVC,73,17.54,11,Central Michigan,MAC,79,10.01,,Central Michigan,U,-6
,20-Mar-03,2003,1,West,1,Arizona,P10,80,26.8,16,Vermont,AE,51,1.57,,Arizona,F,29
,20-Mar-03,2003,1,West,2,Kansas,B12,64,28.62,15,Utah St.,BW,61,7.41,,Kansas,F,3
,20-Mar-03,2003,1,West,3,Duke,ACC,67,23.75,14,Colorado St.,MWC,57,5.96,,Duke,F,10
,20-Mar-03,2003,1,West,4,Illinois,B10,65,24.47,13,Western Kentucky,SB,60,11.75,,Illinois,F,5
,20-Mar-03,2003,1,West,5,Notre Dame,BE,70,20.31,12,Milwaukee,Horz,69,12.97,,Notre Dame,F,1
,20-Mar-03,2003,1,West,7,Memphis,CUSA,71,16.72,10,Arizona St.,P10,84,16.49,,Arizona St.,U,-13
,20-Mar-03,2003,1,West,9,Gonzaga,WCC,74,15.58,8,Cincinnati,CUSA,69,14.69,,Gonzaga,F,5
,22-Mar-03,2003,2,East,1,Oklahoma,B12,74,23.01,8,California,P10,65,13.59,,Oklahoma,F,9
,23-Mar-03,2003,2,East,2,Wake Forest,ACC,62,19.87,10,Auburn,SEC,68,13.63,,Auburn,U,-6
,23-Mar-03,2003,2,East,4,Louisville,CUSA,71,22.75,12,Butler,Horz,79,16.09,,Butler,U,-8
,23-Mar-03,2003,2,East,3,Syracuse,BE,68,23.28,6,Oklahoma St.,B12,56,17.67,,Syracuse,F,12
,22-Mar-03,2003,2,Midwest,3,Marquette,CUSA,101,21.3,6,Missouri,B12,92,17.32,1 OT,Marquette,F,9
,22-Mar-03,2003,2,Midwest,5,Wisconsin,B10,61,22.07,13,Tulsa,WAC,60,13.04,,Wisconsin,F,1
,23-Mar-03,2003,2,Midwest,1,Kentucky,SEC,74,29.18,9,Utah,MWC,54,14.04,,Kentucky,F,20
,23-Mar-03,2003,2,Midwest,2,Pittsburgh,BE,74,28.61,7,Indiana,B10,52,14.48,,Pittsburgh,F,22
,22-Mar-03,2003,2,South,5,Connecticut,BE,85,19.54,4,Stanford,P10,74,14.57,,Connecticut,F,11
,23-Mar-03,2003,2,South,2,Florida,SEC,46,22.14,7,Michigan St.,B10,68,20.26,,Michigan St.,U,-22
,23-Mar-03,2003,2,South,1,Texas,B12,77,23.49,9,Purdue,B10,67,17.42,,Texas,F,10
,23-Mar-03,2003,2,South,6,Maryland,ACC,77,22,3,Xavier,A10,64,19.88,,Maryland,F,13
,22-Mar-03,2003,2,West,1,Arizona,P10,96,26.8,9,Gonzaga,WCC,95,15.58,2 OT,Arizona,F,1
,22-Mar-03,2003,2,West,2,Kansas,B12,108,28.62,10,Arizona St.,P10,76,16.49,,Kansas,F,32
,22-Mar-03,2003,2,West,3,Duke,ACC,86,23.75,11,Central Michigan,MAC,60,10.01,,Duke,F,26
,22-Mar-03,2003,2,West,4,Illinois,B10,60,24.47,5,Notre Dame,BE,68,20.31,,Notre Dame,U,-8
,28-Mar-03,2003,3,East,1,Oklahoma,B12,65,23.01,12,Butler,Horz,54,16.09,,Oklahoma,F,11
,28-Mar-03,2003,3,East,3,Syracuse,BE,79,23.28,10,Auburn,SEC,78,13.63,,Syracuse,F,1
,27-Mar-03,2003,3,Midwest,1,Kentucky,SEC,63,29.18,5,Wisconsin,B10,57,22.07,,Kentucky,F,6
,27-Mar-03,2003,3,Midwest,2,Pittsburgh,BE,74,28.61,3,Marquette,CUSA,77,21.3,,Marquette,U,-3
,28-Mar-03,2003,3,South,1,Texas,B12,82,23.49,5,Connecticut,BE,78,19.54,,Texas,F,4
,28-Mar-03,2003,3,South,6,Maryland,ACC,58,22,7,Michigan St.,B10,60,20.26,,Michigan St.,U,-2
,27-Mar-03,2003,3,West,1,Arizona,P10,88,26.8,5,Notre Dame,BE,71,20.31,,Arizona,F,17
,27-Mar-03,2003,3,West,2,Kansas,B12,69,28.62,3,Duke,ACC,65,23.75,,Kansas,F,4
,30-Mar-03,2003,4,East,3,Syracuse,BE,63,23.28,1,Oklahoma,B12,47,23.01,,Syracuse,F,16
,29-Mar-03,2003,4,Midwest,1,Kentucky,SEC,69,29.18,3,Marquette,CUSA,83,21.3,,Marquette,U,-14
,30-Mar-03,2003,4,South,1,Texas,B12,85,23.49,7,Michigan St.,B10,76,20.26,,Texas,F,9
,29-Mar-03,2003,4,West,2,Kansas,B12,78,28.62,1,Arizona,P10,75,26.8,,Kansas,F,3
,05-Apr-03,2003,5,Final Four,2,Kansas,B12,94,28.62,3,Marquette,CUSA,61,21.3,,Kansas,F,33
,05-Apr-03,2003,5,Final Four,1,Texas,B12,84,23.49,3,Syracuse,BE,95,23.28,,Syracuse,U,-11
,07-Apr-03,2003,6,Championship,2,Kansas,B12,78,28.62,3,Syracuse,BE,81,23.28,,Syracuse,U,-3
,18-Mar-03,2003,PI,South,16,Texas Southern,SWAC,84,-10.45,16,UNC Asheville,BSth,92,-12.35,1 OT,UNC Asheville,U,-8
,18-Mar-04,2004,1,East,5,Florida,SEC,60,18.26,12,Manhattan,MAAC,75,13.38,,Manhattan,U,-15
,18-Mar-04,2004,1,East,1,Saint Joseph's,A10,82,27.66,16,Liberty,BSth,63,-2.5,,Saint Joseph's,F,19
,18-Mar-04,2004,1,East,4,Wake Forest,ACC,79,21.69,13,VCU,CAA,78,9.09,,Wake Forest,F,1
,18-Mar-04,2004,1,East,8,Texas Tech,B12,76,17.11,9,Charlotte,CUSA,73,14.25,,Texas Tech,F,3
,19-Mar-04,2004,1,East,2,Oklahoma St.,B12,75,27.37,15,Eastern Washington,BSky,56,3.09,,Oklahoma St.,F,19
,19-Mar-04,2004,1,East,3,Pittsburgh,BE,53,25.91,14,UCF,ASun,44,5.91,,Pittsburgh,F,9
,19-Mar-04,2004,1,East,6,Wisconsin,B10,76,25.74,11,Richmond,A10,64,15.07,,Wisconsin,F,12
,19-Mar-04,2004,1,East,7,Memphis,CUSA,59,16.17,10,South Carolina,SEC,43,15.02,,Memphis,F,16
,18-Mar-04,2004,1,Midwest,2,Gonzaga,WCC,76,25.34,15,Valparaiso,MCon,49,0.53,,Gonzaga,F,27
,18-Mar-04,2004,1,Midwest,10,Nevada,WAC,72,20.27,7,Michigan St.,B10,66,15.66,,Nevada,F,6
,19-Mar-04,2004,1,Midwest,5,Providence,BE,58,18.32,12,Pacific,BW,66,8.93,,Pacific,U,-8
,19-Mar-04,2004,1,Midwest,1,Kentucky,SEC,96,23.35,16,Florida A&M,MEAC,76,-9.35,,Kentucky,F,20
,19-Mar-04,2004,1,Midwest,3,Georgia Tech,ACC,65,24.69,14,Northern Iowa,MVC,60,8.78,,Georgia Tech,F,5
,19-Mar-04,2004,1,Midwest,4,Kansas,B12,78,20.89,13,Illinois Chicago,Horz,53,10.39,,Kansas,F,25
,19-Mar-04,2004,1,Midwest,6,Boston College,BE,58,15.42,11,Utah,MWC,51,14.13,,Boston College,F,7
,19-Mar-04,2004,1,Midwest,9,UAB,CUSA,102,13.63,8,Washington,P10,100,10.78,,UAB,F,2
,18-Mar-04,2004,1,South,1,Duke,ACC,96,32.33,16,Alabama St.,SWAC,61,-10.72,,Duke,F,35
,18-Mar-04,2004,1,South,3,Texas,B12,66,21.54,14,Princeton,Ivy,49,4.86,,Texas,F,17
,18-Mar-04,2004,1,South,6,North Carolina,ACC,63,23.23,11,Air Force,MWC,52,15.42,,North Carolina,F,11
,18-Mar-04,2004,1,South,8,Seton Hall,BE,80,17.35,9,Arizona,P10,76,16.18,,Seton Hall,F,4
,19-Mar-04,2004,1,South,2,Mississippi St.,SEC,85,21.74,15,Monmouth,NEC,52,-3.99,,Mississippi St.,F,33
,19-Mar-04,2004,1,South,4,Cincinnati,CUSA,80,21.56,13,East Tennessee St.,SC,77,8.6,,Cincinnati,F,3
,19-Mar-04,2004,1,South,5,Illinois,B10,72,22.11,12,Murray St.,OVC,53,10.62,,Illinois,F,19
,19-Mar-04,2004,1,South,10,Louisville,CUSA,70,20.44,7,Xavier,A10,80,20.16,,Xavier,U,-10
,18-Mar-04,2004,1,West,1,Stanford,P10,71,22.52,16,UTSA,Slnd,45,-7.69,,Stanford,F,26
,18-Mar-04,2004,1,West,2,Connecticut,BE,70,28.3,15,Vermont,AE,53,-1.37,,Connecticut,F,17
,18-Mar-04,2004,1,West,4,Maryland,ACC,86,19.81,13,UTEP,WAC,83,14.69,,Maryland,F,3
,18-Mar-04,2004,1,West,5,Syracuse,BE,80,16.34,12,BYU,MWC,75,15.64,,Syracuse,F,5
,18-Mar-04,2004,1,West,7,DePaul,CUSA,76,11.36,10,Dayton,A10,69,9.75,2 OT,DePaul,F,7
,18-Mar-04,2004,1,West,8,Alabama,SEC,65,16.5,9,Southern Illinois,MVC,64,14.33,,Alabama,F,1
,19-Mar-04,2004,1,West,3,North Carolina St.,ACC,61,23.98,14,Lafayette,Pat,52,-5.28,,North Carolina St.,F,9
,19-Mar-04,2004,1,West,6,Vanderbilt,SEC,71,18.64,11,Western Michigan,MAC,58,16.29,,Vanderbilt,F,13
,20-Mar-04,2004,2,East,1,Saint Joseph's,A10,70,27.66,8,Texas Tech,B12,65,17.11,,Saint Joseph's,F,5
,20-Mar-04,2004,2,East,4,Wake Forest,ACC,84,21.69,12,Manhattan,MAAC,80,13.38,,Wake Forest,F,4
,21-Mar-04,2004,2,East,2,Oklahoma St.,B12,70,27.37,7,Memphis,CUSA,53,16.17,,Oklahoma St.,F,17
,21-Mar-04,2004,2,East,3,Pittsburgh,BE,59,25.91,6,Wisconsin,B10,55,25.74,,Pittsburgh,F,4
,20-Mar-04,2004,2,Midwest,2,Gonzaga,WCC,72,25.34,10,Nevada,WAC,91,20.27,,Nevada,U,-19
,21-Mar-04,2004,2,Midwest,1,Kentucky,SEC,75,23.35,9,UAB,CUSA,76,13.63,,UAB,U,-1
,21-Mar-04,2004,2,Midwest,3,Georgia Tech,ACC,57,24.69,6,Boston College,BE,54,15.42,,Georgia Tech,F,3
,21-Mar-04,2004,2,Midwest,4,Kansas,B12,78,20.89,12,Pacific,BW,63,8.93,,Kansas,F,15
,20-Mar-04,2004,2,South,1,Duke,ACC,90,32.33,8,Seton Hall,BE,62,17.35,,Duke,F,28
,20-Mar-04,2004,2,South,6,North Carolina,ACC,75,23.23,3,Texas,B12,78,21.54,,Texas,U,-3
,21-Mar-04,2004,2,South,2,Mississippi St.,SEC,74,21.74,7,Xavier,A10,89,20.16,,Xavier,U,-15
,21-Mar-04,2004,2,South,5,Illinois,B10,92,22.11,4,Cincinnati,CUSA,68,21.56,,Illinois,F,24
,20-Mar-04,2004,2,West,1,Stanford,P10,67,22.52,8,Alabama,SEC,70,16.5,,Alabama,U,-3
,20-Mar-04,2004,2,West,2,Connecticut,BE,72,28.3,7,DePaul,CUSA,55,11.36,,Connecticut,F,17
,20-Mar-04,2004,2,West,4,Maryland,ACC,70,19.81,5,Syracuse,BE,72,16.34,,Syracuse,U,-2
,21-Mar-04,2004,2,West,3,North Carolina St.,ACC,73,23.98,6,Vanderbilt,SEC,75,18.64,,Vanderbilt,U,-2
,25-Mar-04,2004,3,East,1,Saint Joseph's,A10,84,27.66,4,Wake Forest,ACC,80,21.69,,Saint Joseph's,F,4
,25-Mar-04,2004,3,East,2,Oklahoma St.,B12,63,27.37,3,Pittsburgh,BE,51,25.91,,Oklahoma St.,F,12
,26-Mar-04,2004,3,Midwest,3,Georgia Tech,ACC,72,24.69,10,Nevada,WAC,67,20.27,,Georgia Tech,F,5
,26-Mar-04,2004,3,Midwest,4,Kansas,B12,100,20.89,9,UAB,CUSA,74,13.63,,Kansas,F,26
,26-Mar-04,2004,3,South,3,Texas,B12,71,21.54,7,Xavier,A10,79,20.16,,Xavier,U,-8
,26-Mar-04,2004,3,South,1,Duke,ACC,72,32.33,5,Illinois,B10,62,22.11,,Duke,F,10
,25-Mar-04,2004,3,West,2,Connecticut,BE,73,28.3,6,Vanderbilt,SEC,53,18.64,,Connecticut,F,20
,25-Mar-04,2004,3,West,8,Alabama,SEC,80,16.5,5,Syracuse,BE,71,16.34,,Alabama,F,9
,27-Mar-04,2004,4,East,1,Saint Joseph's,A10,62,27.66,2,Oklahoma St.,B12,64,27.37,,Oklahoma St.,U,-2
,28-Mar-04,2004,4,Midwest,3,Georgia Tech,ACC,79,24.69,4,Kansas,B12,71,20.89,1 OT,Georgia Tech,F,8
,28-Mar-04,2004,4,South,1,Duke,ACC,66,32.33,7,Xavier,A10,63,20.16,,Duke,F,3
,27-Mar-04,2004,4,West,2,Connecticut,BE,87,28.3,8,Alabama,SEC,71,16.5,,Connecticut,F,16
,03-Apr-04,2004,5,Final Four,1,Duke,ACC,78,32.33,2,Connecticut,BE,79,28.3,,Connecticut,U,-1
,03-Apr-04,2004,5,Final Four,2,Oklahoma St.,B12,65,27.37,3,Georgia Tech,ACC,67,24.69,,Georgia Tech,U,-2
,05-Apr-04,2004,6,Championship,2,Connecticut,BE,82,28.3,3,Georgia Tech,ACC,73,24.69,,Connecticut,F,9
,16-Mar-04,2004,PI,Midwest,16,Lehigh,Pat,57,-7.01,16,Florida A&M,MEAC,72,-9.35,,Florida A&M,U,-15
,18-Mar-05,2005,1,East,3,Kansas,B12,63,23.08,14,Bucknell,Pat,64,6.69,,Bucknell,U,-1
,18-Mar-05,2005,1,East,1,North Carolina,ACC,96,32.77,16,Oakland,MCon,68,-1.2,,North Carolina,F,28
,18-Mar-05,2005,1,East,2,Connecticut,BE,77,21.94,15,UCF,ASun,71,-2.56,,Connecticut,F,6
,18-Mar-05,2005,1,East,4,Florida,SEC,67,23.93,13,Ohio,MAC,62,8.29,,Florida,F,5
,18-Mar-05,2005,1,East,5,Villanova,BE,55,25.02,12,New Mexico,MWC,47,15.54,,Villanova,F,8
,18-Mar-05,2005,1,East,6,Wisconsin,B10,57,20.81,11,Northern Iowa,MVC,52,13.36,,Wisconsin,F,5
,18-Mar-05,2005,1,East,10,North Carolina St.,ACC,75,18.93,7,Charlotte,CUSA,63,12.15,,North Carolina St.,F,12
,18-Mar-05,2005,1,East,8,Minnesota,B10,53,14.06,9,Iowa St.,B12,64,13.02,,Iowa St.,U,-11
,17-Mar-05,2005,1,Midwest,5,Alabama,SEC,73,20.51,12,Milwaukee,Horz,83,14.69,,Milwaukee,U,-10
,17-Mar-05,2005,1,Midwest,6,LSU,SEC,68,13.8,11,UAB,CUSA,82,12.51,,UAB,U,-14
,17-Mar-05,2005,1,Midwest,1,Illinois,B10,67,32.68,16,Fairleigh Dickinson,NEC,55,-2.52,,Illinois,F,12
,17-Mar-05,2005,1,Midwest,3,Arizona,P10,66,22.22,14,Utah St.,BW,53,19.62,,Arizona,F,13
,17-Mar-05,2005,1,Midwest,4,Boston College,BE,85,18.3,13,Penn,Ivy,65,9.6,,Boston College,F,20
,17-Mar-05,2005,1,Midwest,8,Texas,B12,57,17.01,9,Nevada,WAC,61,12.11,,Nevada,U,-4
,18-Mar-05,2005,1,Midwest,2,Oklahoma St.,B12,63,25.02,15,Southeastern Louisiana,Slnd,50,3.2,,Oklahoma St.,F,13
,18-Mar-05,2005,1,Midwest,7,Southern Illinois,MVC,65,16.75,10,Saint Mary's,WCC,56,9.41,,Southern Illinois,F,9
,17-Mar-05,2005,1,South,2,Kentucky,SEC,72,24.1,15,Eastern Kentucky,OVC,64,1.98,,Kentucky,F,8
,17-Mar-05,2005,1,South,3,Oklahoma,B12,84,22.55,14,Niagara,MAAC,67,5.43,,Oklahoma,F,17
,17-Mar-05,2005,1,South,6,Utah,MWC,60,20.33,11,UTEP,WAC,54,11.62,,Utah,F,6
,17-Mar-05,2005,1,South,7,Cincinnati,CUSA,76,20.43,10,Iowa,B10,64,17.17,,Cincinnati,F,12
