TEAM,PAKE,PASE,Check Name
Ohio St.,-3.2,-2.8,1
Stanford,-3.4,-5.1,1
Wake Forest,-3.5,-4.2,1
Clemson,-3.6,-2.6,1
Arkansas,-3.6,-3,1
Providence,-3.7,-3.6,1
Mississippi St.,-3.9,-4,1
Texas,-4.1,-3.4,1
Utah St.,-4.1,-3.1,1
Creighton,-5,-5.3,1
BYU,-5.2,-4.2,1
Virginia,-5.9,-6.2,1
Pittsburgh,-6.7,-5.7,1
Cincinnati,-7.4,-7.5,1
