"","Date","Year","Round","Region","WSeed","Winner","wConf","WScore","W.AdjEM","LSeed","Loser","Lconf","LScore","AdjEM","Overtime"
"81","14-Mar-86",1986,"1","Midwest",14,"Arkansas Little Rock","SB",90,NA,3,"Notre Dame","BE",83,NA,""
"82","14-Mar-86",1986,"1","East",2,"Syracuse","BE",101,NA,15,"Brown","Ivy",52,NA,""
"83","14-Mar-86",1986,"1","East",6,"Saint Joseph's","A10",60,NA,11,"Richmond","A10",59,NA,""
"84","14-Mar-86",1986,"1","East",7,"Navy","Pat",87,NA,10,"Tulsa","WAC",68,NA,""
"85","14-Mar-86",1986,"1","Midwest",2,"Michigan","B10",70,NA,15,"Akron","MAC",64,NA,""
"86","14-Mar-86",1986,"1","Midwest",6,"North Carolina St.","ACC",66,NA,11,"Iowa","B10",64,NA,""
"87","14-Mar-86",1986,"1","Midwest",7,"Iowa St.","B12",81,NA,10,"Miami OH","MAC",79,NA,"1 OT"
"88","14-Mar-86",1986,"1","Southeast",1,"Kentucky","SEC",75,NA,16,"Davidson","SC",55,NA,""
"89","14-Mar-86",1986,"1","Southeast",4,"Illinois","B10",75,NA,13,"Fairfield","MAAC",51,NA,""
"90","14-Mar-86",1986,"1","Southeast",5,"Alabama","SEC",97,NA,12,"Xavier","A10",80,NA,""
"91","14-Mar-86",1986,"1","Southeast",8,"Western Kentucky","SB",67,NA,9,"Nebraska","B12",59,NA,""
"92","14-Mar-86",1986,"1","West",1,"St. John's","BE",83,NA,16,"Montana St.","BSky",74,NA,""
"93","14-Mar-86",1986,"1","West",4,"UNLV","MWC",74,NA,13,"Louisiana Monroe","Slnd",51,NA,""
"94","14-Mar-86",1986,"1","West",5,"Maryland","ACC",69,NA,12,"Pepperdine","WCC",64,NA,""
"95","14-Mar-86",1986,"1","West",8,"Auburn","SEC",73,NA,9,"Arizona","P10",63,NA,""
"96","15-Mar-86",1986,"2","East",1,"Duke","ACC",89,NA,8,"Old Dominion","CAA",61,NA,""
"97","15-Mar-86",1986,"2","Midwest",1,"Kansas","B12",65,NA,9,"Temple","A10",43,NA,""
"98","15-Mar-86",1986,"2","Southeast",2,"Georgia Tech","ACC",66,NA,10,"Villanova","BE",61,NA,""
"99","15-Mar-86",1986,"2","West",2,"Louisville","CUSA",82,NA,7,"Bradley","MVC",68,NA,""
