"Year","Round","WSeed","Winner","WScore","LSeed","Loser","LScore","Rank.x","AdjEM.x","Rank.y","AdjEM.y"
2003,"3",3,"Syracuse",79,10,"Auburn",78,8,23.28,46,13.63
2003,"3",1,"Texas",82,5,"Connecticut",78,7,23.49,22,19.54
2003,"3",7,"Michigan St.",60,6,"Maryland",58,19,20.26,13,22
2003,"4",3,"Marquette",83,1,"Kentucky",69,15,21.3,1,29.18
2003,"4",2,"Kansas",78,1,"Arizona",75,2,28.62,4,26.8
2003,"4",1,"Texas",85,7,"Michigan St.",76,7,23.49,19,20.26
2003,"4",3,"Syracuse",63,1,"Oklahoma",47,8,23.28,9,23.01
2003,"5",2,"Kansas",94,3,"Marquette",61,2,28.62,15,21.3
2003,"5",3,"Syracuse",95,1,"Texas",84,8,23.28,7,23.49
2003,"6",3,"Syracuse",81,2,"Kansas",78,8,23.28,2,28.62
2004,"PI",16,"Florida A&M",72,16,"Lehigh",57,256,-9.35,240,-7.01
2004,"1",12,"Manhattan",75,5,"Florida",60,48,13.38,25,18.26
2004,"1",1,"Saint Joseph's",82,16,"Liberty",63,3,27.66,181,-2.5
2004,"1",4,"Wake Forest",79,13,"VCU",78,15,21.69,81,9.09
2004,"1",8,"Texas Tech",76,9,"Charlotte",73,28,17.11,43,14.25
2004,"1",2,"Gonzaga",76,15,"Valparaiso",49,7,25.34,152,0.53
2004,"1",1,"Duke",96,16,"Alabama St.",61,1,32.33,266,-10.72
2004,"1",3,"Texas",66,14,"Princeton",49,17,21.54,108,4.86
2004,"1",6,"North Carolina",63,11,"Air Force",52,11,23.23,36,15.42
2004,"1",8,"Seton Hall",80,9,"Arizona",76,27,17.35,32,16.18
2004,"1",1,"Stanford",71,16,"UTSA",45,12,22.52,248,-7.69
2004,"1",2,"Connecticut",70,15,"Vermont",53,2,28.3,172,-1.37
2004,"1",4,"Maryland",86,13,"UTEP",83,22,19.81,41,14.69
2004,"1",5,"Syracuse",80,12,"BYU",75,30,16.34,35,15.64
2004,"1",7,"DePaul",76,10,"Dayton",69,58,11.36,74,9.75
2004,"1",8,"Alabama",65,9,"Southern Illinois",64,29,16.5,42,14.33
2004,"1",10,"Nevada",72,7,"Michigan St.",66,20,20.27,34,15.66
2004,"1",12,"Pacific",66,5,"Providence",58,82,8.93,24,18.32
2004,"1",2,"Oklahoma St.",75,15,"Eastern Washington",56,4,27.37,125,3.09
2004,"1",3,"Pittsburgh",53,14,"UCF",44,5,25.91,98,5.91
2004,"1",6,"Wisconsin",76,11,"Richmond",64,6,25.74,38,15.07
2004,"1",7,"Memphis",59,10,"South Carolina",43,33,16.17,39,15.02
2004,"1",1,"Kentucky",96,16,"Florida A&M",76,10,23.35,256,-9.35
2004,"1",3,"Georgia Tech",65,14,"Northern Iowa",60,8,24.69,84,8.78
2004,"1",4,"Kansas",78,13,"Illinois Chicago",53,18,20.89,63,10.39
2004,"1",6,"Boston College",58,11,"Utah",51,37,15.42,45,14.13
2004,"1",2,"Mississippi St.",85,15,"Monmouth",52,14,21.74,194,-3.99
2004,"1",4,"Cincinnati",80,13,"East Tennessee St.",77,16,21.56,85,8.6
2004,"1",5,"Illinois",72,12,"Murray St.",53,13,22.11,61,10.62
2004,"1",7,"Xavier",80,10,"Louisville",70,21,20.16,19,20.44
2004,"1",3,"North Carolina St.",61,14,"Lafayette",52,9,23.98,218,-5.28
2004,"1",3,"North Carolina St.",61,14,"Lafayette",52,9,23.98,67,10.23
2004,"1",6,"Vanderbilt",71,11,"Western Michigan",58,23,18.64,31,16.29
2004,"1",9,"UAB",102,8,"Washington",100,46,13.63,60,10.78
2004,"2",10,"Nevada",91,2,"Gonzaga",72,20,20.27,7,25.34
2004,"2",8,"Alabama",70,1,"Stanford",67,29,16.5,12,22.52
2004,"2",1,"Saint Joseph's",70,8,"Texas Tech",65,3,27.66,28,17.11
2004,"2",4,"Wake Forest",84,12,"Manhattan",80,15,21.69,48,13.38
2004,"2",1,"Duke",90,8,"Seton Hall",62,1,32.33,27,17.35
2004,"2",3,"Texas",78,6,"North Carolina",75,17,21.54,11,23.23
2004,"2",2,"Connecticut",72,7,"DePaul",55,2,28.3,58,11.36
