Date,Year,Round,Region,WSeed,Winner,wConf,WScore,LSeed,Loser,Lconf,LScore,Overtime,MV,SeD,Upset,LEW,LAW,LDW
13-Mar-86,1986,1,East,1,Duke,ACC,85,16,Mississippi Valley St.,SWAC,78,,7,15,,0.007142857,0,-0.007142857
13-Mar-86,1986,1,East,4,Oklahoma,B12,80,13,Northeastern,AE,74,,6,9,,0.25,0,-0.25
13-Mar-86,1986,1,East,8,Old Dominion,CAA,72,9,West Virginia,BE,64,,8,1,,0.6,0,-0.6
13-Mar-86,1986,1,Midwest,1,Kansas,B12,71,16,North Carolina A&T,MEAC,46,,25,15,,0.007142857,0,-0.007142857
13-Mar-86,1986,1,Midwest,4,Georgetown,BE,70,13,Texas Tech,B12,64,,6,9,,0.25,0,-0.25
13-Mar-86,1986,1,Midwest,5,Michigan St.,B10,72,12,Washington,P10,70,,2,7,,0.514285714,0,-0.514285714
13-Mar-86,1986,1,Southeast,2,Georgia Tech,ACC,68,15,Marist,MAAC,53,,15,13,,0.064285714,0,-0.064285714
13-Mar-86,1986,1,Southeast,3,Memphis,CUSA,95,14,Ball St.,MAC,63,,32,11,,0.164285714,0,-0.164285714
13-Mar-86,1986,1,West,2,Louisville,CUSA,93,15,Drexel,CAA,73,,20,13,,0.064285714,0,-0.064285714
13-Mar-86,1986,1,West,3,North Carolina,ACC,84,14,Utah,MWC,72,,12,11,,0.164285714,0,-0.164285714
13-Mar-86,1986,1,West,6,UAB,CUSA,66,11,Missouri,B12,64,,2,5,,0.614285714,0,-0.614285714
13-Mar-86,1986,1,West,7,Bradley,MVC,83,10,UTEP,WAC,65,,18,3,,0.621428571,0,-0.621428571
13-Mar-86,1986,1,East,12,DePaul,CUSA,72,5,Virginia,ACC,68,,4,-7,12 over 5,1.107142857,0,-1.107142857
13-Mar-86,1986,1,Southeast,11,LSU,SEC,94,6,Purdue,B10,87,2 OT,7,-5,11 over 6,1.078571429,0,-1.078571429
13-Mar-86,1986,1,Southeast,10,Villanova,BE,71,7,Virginia Tech,BE,62,,9,-3,10 over 7,0.9,0,-0.9
13-Mar-86,1986,1,Midwest,9,Temple,A10,61,8,Jacksonville,ASun,50,1 OT,11,-1,,0.7,0,-0.7
14-Mar-86,1986,1,East,14,Cleveland St.,Horz,83,3,Indiana,B10,79,,4,-11,14 over 3,1.864285714,0,-1.864285714
14-Mar-86,1986,1,Midwest,14,Arkansas Little Rock,SB,90,3,Notre Dame,BE,83,,7,-11,14 over 3,1.864285714,0,-1.864285714
14-Mar-86,1986,1,East,2,Syracuse,BE,101,15,Brown,Ivy,52,,49,13,,0.064285714,0,-0.064285714
14-Mar-86,1986,1,East,6,Saint Joseph's,A10,60,11,Richmond,A10,59,,1,5,,0.614285714,0,-0.614285714
14-Mar-86,1986,1,East,7,Navy,Pat,87,10,Tulsa,WAC,68,,19,3,,0.621428571,0,-0.621428571
14-Mar-86,1986,1,Midwest,2,Michigan,B10,70,15,Akron,MAC,64,,6,13,,0.064285714,0,-0.064285714
14-Mar-86,1986,1,Midwest,6,North Carolina St.,ACC,66,11,Iowa,B10,64,,2,5,,0.614285714,0,-0.614285714
14-Mar-86,1986,1,Midwest,7,Iowa St.,B12,81,10,Miami OH,MAC,79,1 OT,2,3,,0.621428571,0,-0.621428571
14-Mar-86,1986,1,Southeast,1,Kentucky,SEC,75,16,Davidson,SC,55,,20,15,,0.007142857,0,-0.007142857
14-Mar-86,1986,1,Southeast,4,Illinois,B10,75,13,Fairfield,MAAC,51,,24,9,,0.25,0,-0.25
14-Mar-86,1986,1,Southeast,5,Alabama,SEC,97,12,Xavier,A10,80,,17,7,,0.514285714,0,-0.514285714
14-Mar-86,1986,1,Southeast,8,Western Kentucky,SB,67,9,Nebraska,B12,59,,8,1,,0.6,0,-0.6
14-Mar-86,1986,1,West,1,St. John's,BE,83,16,Montana St.,BSky,74,,9,15,,0.007142857,0,-0.007142857
14-Mar-86,1986,1,West,4,UNLV,MWC,74,13,Louisiana Monroe,Slnd,51,,23,9,,0.25,0,-0.25
14-Mar-86,1986,1,West,5,Maryland,ACC,69,12,Pepperdine,WCC,64,,5,7,,0.514285714,0,-0.514285714
14-Mar-86,1986,1,West,8,Auburn,SEC,73,9,Arizona,P10,63,,10,1,,0.6,0,-0.6
15-Mar-86,1986,2,East,1,Duke,ACC,89,8,Old Dominion,CAA,61,,28,7,,0.7,1,0.3
15-Mar-86,1986,2,Midwest,1,Kansas,B12,65,9,Temple,A10,43,,22,8,,0.6,1,0.4
15-Mar-86,1986,2,Southeast,2,Georgia Tech,ACC,66,10,Villanova,BE,61,,5,8,,0.621428571,1,0.378571429
15-Mar-86,1986,2,West,2,Louisville,CUSA,82,7,Bradley,MVC,68,,14,5,,0.9,1,0.1
15-Mar-86,1986,2,West,3,North Carolina,ACC,77,6,UAB,CUSA,59,,18,3,,1.078571429,1,-0.078571429
15-Mar-86,1986,2,East,12,DePaul,CUSA,74,4,Oklahoma,B12,69,,5,-8,12 over 4,1.535714286,1,-0.535714286
15-Mar-86,1986,2,Southeast,11,LSU,SEC,83,3,Memphis,CUSA,81,,2,-8,11 over 3,1.864285714,1,-0.864285714
15-Mar-86,1986,2,Midwest,5,Michigan St.,B10,80,4,Georgetown,BE,68,,12,-1,,1.535714286,1,-0.535714286
16-Mar-86,1986,2,Midwest,6,North Carolina St.,ACC,80,14,Arkansas Little Rock,SB,66,2 OT,14,8,,0.164285714,1,0.835714286
16-Mar-86,1986,2,Southeast,1,Kentucky,SEC,71,8,Western Kentucky,SB,64,,7,7,,0.7,1,0.3
16-Mar-86,1986,2,West,4,UNLV,MWC,70,5,Maryland,ACC,64,,6,1,,1.107142857,1,-0.107142857
16-Mar-86,1986,2,East,14,Cleveland St.,Horz,75,6,Saint Joseph's,A10,69,,6,-8,14 over 6,1.078571429,1,-0.078571429
16-Mar-86,1986,2,West,8,Auburn,SEC,81,1,St. John's,BE,65,,16,-7,8 over 1,3.357142857,1,-2.357142857
16-Mar-86,1986,2,East,7,Navy,Pat,97,2,Syracuse,BE,85,,12,-5,7 over 2,2.371428571,1,-1.371428571
16-Mar-86,1986,2,Midwest,7,Iowa St.,B12,72,2,Michigan,B10,69,,3,-5,7 over 2,2.371428571,1,-1.371428571
16-Mar-86,1986,2,Southeast,5,Alabama,SEC,58,4,Illinois,B10,56,,2,-1,,1.535714286,1,-0.535714286
20-Mar-86,1986,3,Southeast,1,Kentucky,SEC,68,5,Alabama,SEC,63,,5,4,,1.107142857,2,0.892857143
20-Mar-86,1986,3,West,2,Louisville,CUSA,94,3,North Carolina,ACC,79,,15,1,,1.864285714,2,0.135714286
20-Mar-86,1986,3,Southeast,11,LSU,SEC,70,2,Georgia Tech,ACC,64,,6,-9,11 over 2,2.371428571,2,-0.371428571
20-Mar-86,1986,3,West,8,Auburn,SEC,70,4,UNLV,MWC,63,,7,-4,8 over 4,1.535714286,2,0.464285714
21-Mar-86,1986,3,East,1,Duke,ACC,74,12,DePaul,CUSA,67,,7,11,,0.514285714,2,1.485714286
21-Mar-86,1986,3,East,7,Navy,Pat,71,14,Cleveland St.,Horz,70,,1,7,,0.164285714,2,1.835714286
21-Mar-86,1986,3,Midwest,1,Kansas,B12,96,5,Michigan St.,B10,86,1 OT,10,4,,1.107142857,2,0.892857143
21-Mar-86,1986,3,Midwest,6,North Carolina St.,ACC,70,7,Iowa St.,B12,66,,4,1,,0.9,2,1.1
22-Mar-86,1986,4,Southeast,11,LSU,SEC,59,1,Kentucky,SEC,57,,2,-10,11 over 1,3.357142857,3,-0.357142857
22-Mar-86,1986,4,West,2,Louisville,CUSA,84,8,Auburn,SEC,76,,8,6,,0.7,3,2.3
23-Mar-86,1986,4,East,1,Duke,ACC,71,7,Navy,Pat,50,,21,6,,0.9,3,2.1
23-Mar-86,1986,4,Midwest,1,Kansas,B12,75,6,North Carolina St.,ACC,67,,8,5,,1.078571429,3,1.921428571
