"Year","Round","Fseed","Favored","Fscore","Useed","Underdog","Uscore","Winner","PAKE.x","PASE.x","Season.x","NCAA.x","G.x","W.x","L.x","W.L..x","SRS.x","SOS.x","CW.x","CL.x","HW.x","HL.x","CW2.x","CL3.x","TmP.x","OppP.x","MP.x","FG.x","FGA.x","FG..x","X3P.x","X3PA.x","X3P..x","FT.x","FTA.x","FT..x","ORB.x","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","AdjEM.x","AdjO.x","AdjD.x","AdjT.x","Luck.x","SoS.AdjEM.x","OppO.x","OppD.x","NCSOS.AdjEM.x","PAKE.y","PASE.y","Season.y","NCAA.y","G.y","W.y","L.y","W.L..y","SRS.y","SOS.y","CW.y","CL.y","HW.y","HL.y","CW2.y","CL3.y","TmP.y","OppP.y","MP.y","FG.y","FGA.y","FG..y","X3P.y","X3PA.y","X3P..y","FT.y","FTA.y","FT..y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","AdjEM.y","AdjO.y","AdjD.y","AdjT.y","Luck.y","SoS.AdjEM.y","OppO.y","OppD.y","NCSOS.AdjEM.y"
2002,"1",7,"North Carolina St.",69,10,"Michigan St.",58,"North Carolina St.",-0.4,1.3,"2001-02","NCAAT",34,23,11,0.676,15.85,8.17,9,7,14,4,6,5,2565,2304,1360,863,1910,0.452,278,773,0.36,561,743,0.755,354,1119,547,269,72,452,NA,19.15,113.2,94,67.5,0.012,8.27,108.6,100.4,-5.56,11.2,14,"2001-02","NCAAT",31,19,12,0.613,14.9,9.6,10,6,15,2,4,5,2150,1978,1240,764,1654,0.462,180,458,0.393,442,573,0.771,377,1163,438,155,93,461,NA,16.86,113,96.2,63.3,-0.026,9.76,108.5,98.7,1.51
2002,"1",8,"Wisconsin",80,9,"St. John's",70,"Wisconsin",3.9,7.7,"2001-02","NCAAT",32,19,13,0.594,10.09,9.22,11,5,12,1,6,8,2144,2101,NA,731,1675,0.436,211,593,0.356,471,655,0.719,328,1032,407,188,60,414,NA,13.22,110.7,97.5,63.3,0.049,10.57,108.9,98.3,8.49,-2,-3.6,"2001-02","NCAAT",32,20,12,0.625,7.8,6.3,9,7,14,2,3,7,2250,2202,1295,784,1953,0.401,139,484,0.287,543,811,0.67,498,1206,368,323,120,484,NA,9.06,102.7,93.6,69.1,0.089,6.4,106.5,100.1,-0.79
2002,"1",3,"Mississippi St.",70,14,"McNeese St.",58,"Mississippi St.",-3.9,-4,"2001-02","NCAAT",35,27,8,0.771,14.42,7.33,10,6,14,1,7,5,2582,2334,NA,943,1965,0.48,192,551,0.348,504,772,0.653,457,1359,566,294,123,583,NA,18.25,111.4,93.1,67.9,0.107,8.93,106.7,97.7,-0.96,-0.3,-0.2,"2001-02","NCAAT",30,21,9,0.7,-0.59,-5.8,17,3,13,0,8,8,2102,1909,1205,743,1687,0.44,171,466,0.367,445,681,0.653,406,1139,387,260,153,480,NA,5.39,103.2,97.8,66.2,0.023,-4.6,99.6,104.2,12.81
2002,"1",4,"Illinois",93,13,"San Diego St.",64,"Illinois",-2,-0.1,"2001-02","NCAAT",35,26,9,0.743,19.2,9.94,11,5,13,1,5,6,2708,2369,NA,908,1932,0.47,254,692,0.367,638,862,0.74,392,1264,590,258,141,511,NA,23.21,115.7,92.5,68.5,0.016,10.6,109.7,99.1,6.78,-2.3,-2.7,"2001-02","NCAAT",33,21,12,0.636,7.69,6.02,7,7,12,3,6,8,2455,2339,1335,906,1902,0.476,147,409,0.359,496,752,0.66,400,1219,472,225,123,508,NA,9.29,106.9,97.6,70,0.055,5.64,106.7,101.1,0.67
2002,"1",6,"Texas",70,11,"Boston College",57,"Texas",-4.1,-3.4,"2001-02","NCAAT",34,22,12,0.647,14.31,9.98,10,6,10,5,7,3,2657,2489,1380,949,2096,0.453,200,544,0.368,559,814,0.687,524,1356,516,211,131,466,NA,17.69,116,98.3,68.5,-0.021,10.18,109.1,98.9,5.3,-0.9,-2.4,"2001-02","NCAAT",32,20,12,0.625,8.95,5.91,8,8,11,5,5,4,2354,2257,NA,801,1913,0.419,212,629,0.337,540,776,0.696,452,1192,431,259,106,449,NA,9.97,109.4,99.4,69.1,0.04,6.41,105.3,98.9,-2.77
2002,"1",3,"Pittsburgh",71,14,"Central Connecticut",54,"Pittsburgh",-6.7,-5.7,"2001-02","NCAAT",35,29,6,0.829,14.69,4.55,13,3,16,1,7,2,2530,2133,NA,928,1974,0.47,220,682,0.323,454,751,0.605,464,1345,590,235,156,498,NA,19.94,112.1,92.2,63.8,0,3.12,103.7,100.6,-12.06,-0.3,-0.2,"2001-02","NCAAT",32,27,5,0.844,-1.1,-9.29,19,1,13,2,11,2,2280,2018,NA,814,1777,0.458,139,397,0.35,513,697,0.736,418,1247,426,215,107,480,NA,0.93,100.6,99.7,64,0.137,-11.95,97.4,109.3,-4.99
2002,"1",6,"California",82,11,"Penn",75,"California",-2.6,-3,"2001-02","NCAAT",32,23,9,0.719,13.08,7.45,12,6,18,1,4,7,2310,2130,NA,835,1849,0.452,187,595,0.314,453,669,0.677,365,1087,487,254,132,423,NA,16.03,109.8,93.7,66.6,0.088,7.89,107.9,100,-5.85,-2.3,-1.9,"2001-02","NCAAT",32,25,7,0.781,7.96,-1.51,11,3,13,3,10,2,2342,2039,NA,815,1701,0.479,266,668,0.398,446,609,0.732,265,1035,561,209,108,421,NA,12.23,110.2,98,65.6,-0.019,-2.38,101.9,104.3,0.99
2002,"1",1,"Cincinnati",90,16,"Boston University",52,"Cincinnati",-7.4,-7.5,"2001-02","NCAAT",35,31,4,0.886,24.38,6.58,14,2,18,0,7,3,2738,2115,NA,967,2071,0.467,209,577,0.362,595,839,0.709,462,1396,480,167,154,416,NA,30.19,118.1,87.9,67.4,0.002,6.58,106.3,99.7,3.48,-0.2,0,"2001-02","NCAAT",32,22,10,0.688,-4.68,-7.81,13,3,11,2,9,6,2147,2047,NA,748,1767,0.423,203,567,0.358,448,651,0.688,393,1200,399,192,84,415,NA,-2.74,101.3,104,64.5,0.102,-9.18,97.5,106.6,0.25
2002,"1",2,"Oklahoma",71,15,"Illinois Chicago",63,"Oklahoma",-0.9,-2.7,"2001-02","NCAAT",36,31,5,0.861,21.04,7.7,13,3,16,0,7,4,2807,2327,1455,1011,2281,0.443,236,674,0.35,549,716,0.767,543,1439,517,325,134,427,NA,26.04,114.9,88.9,66.5,0.043,8.77,109,100.2,-0.45,-0.5,-0.3,"2001-02","NCAAT",34,20,14,0.588,1.45,1.42,8,8,11,2,3,10,2503,2400,NA,862,1953,0.441,251,619,0.405,528,802,0.658,423,1180,462,195,48,435,NA,3.85,108.9,105,67.5,0.04,1.84,104.1,102.2,0.66
2002,"1",7,"Xavier",70,10,"Hawaii",58,"Xavier",4,3.4,"2001-02","NCAAT",32,26,6,0.813,13.9,4.09,14,2,13,1,9,4,2317,2003,1285,777,1732,0.449,197,552,0.357,566,785,0.721,389,1188,400,215,143,435,NA,18.6,111.2,92.6,67,0.051,5.09,106.7,101.6,5.37,-0.5,-0.4,"2001-02","NCAAT",33,27,6,0.818,9.81,1.15,15,3,16,1,7,3,2367,2081,NA,818,1818,0.45,241,634,0.38,490,716,0.684,338,1103,546,230,116,407,NA,13.15,110.3,97.2,65.6,0.007,-0.72,102.8,103.5,-9.7
