"Year","Round","WSeed","Winner","WScore","LSeed","Loser","LScore","AdjEM.x","AdjO.x","AdjD.x","AdjT.x","Luck.x","SoS.AdjEM.x","OppO.x","OppD.x","NCSOS.AdjEM.x","AdjEM.y","AdjO.y","AdjD.y","AdjT.y","Luck.y","SoS.AdjEM.y","OppO.y","OppD.y","NCSOS.AdjEM.y"
2003,"1",2,"Kansas",64,15,"Utah St.",61,28.62,115,86.4,72.2,-0.017,11.84,108.6,96.8,6.07,7.41,107.1,99.7,61,0.003,-2,101.1,103.1,-0.07
2003,"1",3,"Duke",67,14,"Colorado St.",57,23.75,115,91.3,70.7,-0.03,8.85,107.1,98.3,0.64,5.96,110.6,104.6,67.1,0.031,4.39,104.6,100.2,-3.45
2003,"1",4,"Illinois",65,13,"Western Kentucky",60,24.47,113.2,88.7,67.8,-0.029,7.29,105.8,98.5,-4.18,11.75,108,96.3,67.2,0.035,1.09,103.1,102,2.09
2003,"1",5,"Notre Dame",70,12,"Milwaukee",69,20.31,116.5,96.2,69.2,0.009,11.01,107.4,96.3,3.78,12.97,109,96,71.2,0.025,2.06,104.8,102.8,1.05
2003,"1",10,"Arizona St.",84,7,"Memphis",71,16.49,113.9,97.4,66.9,-0.014,8.74,106.4,97.7,5.43,16.72,110.9,94.1,68.3,0.005,4.83,103.4,98.6,3.33
2003,"1",9,"Gonzaga",74,8,"Cincinnati",69,15.58,113.2,97.7,66.9,-0.021,3.92,104,100.1,5.83,14.69,105,90.3,66.4,-0.066,7.32,106.6,99.3,3.65
2003,"1",12,"Butler",47,5,"Mississippi St.",46,16.09,115.4,99.3,58.6,0.073,4.1,104.5,100.4,1.84,21.53,107.4,85.8,64.8,-0.06,8.85,106.9,98,-2.62
2003,"1",2,"Wake Forest",76,15,"East Tennessee St.",73,19.87,114.5,94.6,67.7,0.073,7.83,105.8,98,-3.8,1.75,101.3,99.6,75.2,0.036,-1.8,102.1,103.9,4.8
2003,"1",3,"Syracuse",76,14,"Manhattan",65,23.28,114.4,91.1,71,0.083,10.32,106.6,96.3,-3.63,10.04,105.5,95.4,68.1,0.014,-1.71,101.7,103.4,2.52
2003,"1",4,"Louisville",86,13,"Austin Peay",64,22.75,115.8,93,72.5,-0.029,6.8,105.4,98.6,6.01,2.65,100.7,98,64.4,0.171,-0.97,104.2,105.1,7.41
2003,"1",6,"Oklahoma St.",77,11,"Penn",63,17.67,105.9,88.2,66.7,0.003,9.08,106.3,97.2,-1.17,13.35,110.3,96.9,63.3,0.035,-1.53,100.4,101.9,3.49
2003,"1",1,"Kentucky",95,16,"IUPUI",64,29.18,116.5,87.4,67.7,0.051,11.2,108.6,97.4,6.77,0.46,102.9,102.5,67,0.071,-2.19,102.6,104.8,2.79
2003,"1",2,"Pittsburgh",87,15,"Wagner",61,28.61,114.8,86.2,64.7,-0.023,7.08,105.5,98.4,-8.24,-1.16,104.7,105.9,67.6,0.049,-7.45,98.9,106.3,2.39
2003,"1",7,"Indiana",67,10,"Alabama",62,14.48,113.4,98.9,63.7,0.05,10.49,107.2,96.8,9.29,14.6,110.3,95.7,65.3,-0.015,9.55,106.6,97.1,2.31
2003,"1",1,"Texas",82,16,"UNC Asheville",61,23.49,119.3,95.8,69.4,-0.009,10.36,107.1,96.7,2.16,-12.35,101.2,113.5,68,0.119,-6.45,98.3,104.7,11.61
2003,"1",2,"Florida",85,15,"Sam Houston St.",55,22.14,116.5,94.4,65,0.008,8.3,105.9,97.6,-0.9,0.82,101.5,100.6,67.2,0.088,-7.41,97,104.4,-2
2003,"1",3,"Xavier",71,14,"Troy",59,19.88,113.8,94,67.7,0.018,4.79,105,100.2,4.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"1",6,"Maryland",75,11,"UNC Wilmington",73,22,110.9,88.9,71.5,-0.078,8.23,106.6,98.4,-5.29,14.62,109.5,94.9,64.1,-0.031,-2.47,99.2,101.7,-0.81
2003,"1",7,"Michigan St.",79,10,"Colorado",64,20.26,110.1,89.9,63.6,-0.05,10.11,107.3,97.2,3.2,15.27,109.1,93.8,69.9,0.001,9.02,106.9,97.8,0.22
2003,"1",10,"Auburn",65,7,"Saint Joseph's",63,13.63,107.7,94.1,66.6,0.051,8.22,106,97.8,-4.71,20.75,109,88.3,64.1,-0.049,4.6,105,100.4,5.8
2003,"1",9,"Utah",60,8,"Oregon",58,14.04,106.6,92.6,62.1,0.069,5.24,106.7,101.5,1.55,14.25,111.4,97.1,71.2,0.032,5.23,105.1,99.8,-4.45
2003,"1",9,"Purdue",80,8,"LSU",56,17.42,107,89.6,69.3,-0.012,9.53,107.6,98,4.87,18.15,111,92.8,67.5,-0.035,6.27,104.8,98.6,-8.36
2003,"2",1,"Oklahoma",74,8,"California",65,23.01,112.1,89.1,62.7,0.034,9.01,106.7,97.7,-2.32,13.59,109.9,96.3,65.9,0.061,7.06,106.7,99.6,0.3
2003,"2",3,"Marquette",101,6,"Missouri",92,21.3,120.5,99.2,65.7,0.07,7.93,106.1,98.2,-1.45,17.32,111.5,94.2,66.9,0.043,11.14,107.1,95.9,2.97
2003,"2",5,"Wisconsin",61,13,"Tulsa",60,22.07,114.4,92.4,61.9,-0.024,6.46,106.1,99.6,-1.01,13.04,107.9,94.9,67.4,-0.061,1.05,102.7,101.7,4.16
