Year,Round,Fseed,Favored,Fscore,Useed,Underdog,Uscore,Winner,PAKE.d,PASE.d,G.d,W.d,L.d,W.L..d,SRS.d,SOS.d,CW.d,CL.d,HW.d,HL.d,CW2.d,CL3.d,TmP.d,OppP.d,MP.d,FG.d,FGA.d,FG..d,X3P.d,X3PA.d,X3P..d,FT.d,FTA.d,FT..d,ORB.d,TRB.d,AST.d,STL.d,BLK.d,TOV.d,PF.d,AdjEM.d,AdjO.d,AdjD.d,AdjT.d,Luck.d,SoS.AdjEM.d,OppO.d,OppD.d,NCSOS.AdjEM.d
2002,3,2,Oklahoma,88,3,Arizona,67,Oklahoma,-3.6,-3.9,2,7,-5,0.155,4.11,-4.79,1,-3,3,-4,1,-1,14,-315,,76,242,-0.016,-22,-12,-0.026,-116,-194,0.036,113,153,-10,118,31,-51,,5.5,-4.4,-9.9,-4.6,-0.036,-5.45,-2.3,3.1,-18.01
2002,3,1,Maryland,78,4,Kentucky,68,Maryland,-6,-6.4,4,10,-6,0.201,4.35,-2.61,5,-5,3,-3,2,-2,600,369,,178,227,0.034,-2,-112,0.058,246,295,0.05,-19,196,243,50,63,35,,7.04,5.8,-1.3,5.7,0.054,-3.09,-1,2.2,-5.13
2002,3,2,Connecticut,71,11,Southern Illinois,59,Connecticut,11.9,11.4,-2,-1,-1,0.016,6.23,5.76,-1,-1,0,1,-2,-2,-71,-71,,-4,-103,0.022,-66,-210,0.028,3,-93,0.077,-19,-15,-53,-6,65,52,,5.91,3,-2.9,-1.9,0.029,6.07,2.1,-4,-1.44
2002,3,1,Kansas,73,4,Illinois,69,Kansas,6.7,-0.1,2,7,-5,0.149,5.18,-0.59,5,-5,0,-1,6,-5,657,396,,351,555,0.036,-30,-156,0.051,-15,5,-0.021,165,374,177,99,69,91,,5.78,3,-2.8,8.8,0.006,0.06,0.6,0.5,1.54
2002,3,2,Oregon,72,6,Texas,70,Oregon,10.6,9.1,1,4,-3,0.096,5.36,-3.05,4,-2,7,-5,-2,4,337,49,,65,-14,0.034,104,177,0.054,103,47,0.082,-140,-76,64,50,-17,16,,5.28,3.2,-2,2.6,-0.02,-2.03,-1,1,-8.6
2002,4,5,Indiana,81,10,Kent St.,69,Indiana,-1.3,-1.8,1,-5,6,-0.157,5.52,9.98,-6,4,-2,1,-4,2,-125,11,,-70,-112,-0.009,46,45,0.045,-31,-10,-0.032,-68,-19,63,25,120,117,,4.41,-2.7,-7.2,0.9,-0.057,11,4.8,-6.2,10.54
2002,4,2,Oklahoma,81,12,Missouri,75,Oklahoma,-0.2,-2.1,0,7,-7,0.194,6.82,0.89,4,-4,2,-3,3,-2,-70,-283,,-20,28,-0.015,-90,-160,-0.041,60,7,0.077,8,24,-22,61,-20,-84,,8.55,-1.3,-9.8,-3.6,0.053,0.85,1,0.2,-0.06
2002,4,1,Maryland,90,2,Connecticut,82,Maryland,-9,-8.7,2,5,-3,0.095,7.48,1.95,2,-2,2,-1,0,-1,414,198,,111,236,-0.001,63,189,-0.02,129,146,0.03,9,98,220,46,-20,-50,,9.89,7,-2.9,5,-0.038,1.7,1.8,0.2,-0.1
2002,4,1,Kansas,104,2,Oregon,86,Kansas,-1.8,-5.9,2,7,-5,0.149,4.71,2.42,2,-4,-4,0,6,-6,371,227,,245,405,0.019,-80,-185,-0.004,-39,6,-0.05,173,358,187,96,96,120,,6.02,-0.5,-6.6,6.2,0.063,2.51,2.2,-0.3,11.62
2002,5,1,Maryland,97,1,Kansas,88,Maryland,-2,3,-1,-1,0,-0.003,-0.88,0.03,-1,1,2,0,-4,1,-305,-213,,-176,-239,-0.024,-7,44,-0.044,54,66,0.007,-84,-159,-53,-55,6,-107,,0.26,0.5,0.2,-3.6,0.003,-0.78,-1.2,-0.3,-6.7
2002,5,2,Oklahoma,64,5,Indiana,73,Indiana,-0.9,-2.8,-1,6,-7,0.185,1.85,-4.38,2,-2,6,-1,1,-1,200,11,,95,291,-0.017,-34,15,-0.06,44,-10,0.071,137,136,-29,71,-58,-81,,1.24,0.9,-0.3,0.9,0.092,-5.34,-1.8,3.5,-13.98
2002,6,1,Maryland,64,5,Indiana,52,Maryland,2.7,2.7,-1,7,-8,0.213,4.31,-2.7,4,-4,5,-1,1,-3,453,236,,167,258,0.022,-53,-79,-0.036,172,207,0.03,67,176,168,48,24,-13,,4.45,5.2,0.7,8.1,0.074,-4.23,-1.7,2.6,-11.91
2003,PI,16,Texas Southern,84,16,UNC Asheville,92,UNC Asheville,0.2,0,-1,3,-4,0.112,3.62,-5.6,4,0,1,1,2,-6,-52,-297,,-30,-127,0.015,-22,-12,-0.031,30,211,-0.149,18,42,12,-32,-32,-42,-45,1.9,-2.9,-4.8,0.4,-0.082,-6.51,-3.9,2.7,-19.7
2003,1,4,Dayton,71,13,Tulsa,84,Tulsa,-1.1,-4.5,-3,1,-4,0.103,0.59,2.88,2,-4,3,-2,1,-2,-241,-148,,-139,-246,-0.014,10,42,-0.008,27,52,-0.016,38,-130,-36,-83,-71,-70,-36,1.49,8.5,7,-3,0.145,3.86,1.7,-2.2,1.35
2003,1,6,Creighton,73,11,Central Michigan,79,Central Michigan,-5.5,-5.7,2,4,-2,0.072,8.48,-0.76,1,-1,5,-1,-2,-1,135,-144,85,110,242,-0.006,46,119,0,-131,-111,-0.069,26,76,71,46,33,-116,-67,7.53,2.9,-4.5,-3.3,-0.111,-2.25,-1.8,0.4,-3.37
2003,1,1,Oklahoma,71,16,South Carolina St.,54,Oklahoma,-0.9,-2.7,3,7,-4,0.149,28.06,18.67,-3,1,7,-1,-4,-4,154,-168,,88,229,-0.009,89,154,0.059,-111,-153,-0.006,18,106,166,-10,34,-190,-24,31.6,15.7,-15.9,-9,-0.081,21.28,11.5,-9.8,-1.77
2003,1,8,California,76,9,North Carolina St.,74,California,-2.2,-4.3,0,4,-4,0.129,0.01,0.01,4,-2,-1,-2,4,-3,55,55,,92,163,0.01,-50,-166,0.018,-79,-33,-0.089,60,106,31,-35,-13,-7,-47,0.41,-1.3,-1.8,0.9,0.084,-1.42,-0.2,1.2,6.78
2003,1,3,Marquette,72,14,Holy Cross,68,Marquette,0.4,-0.4,2,1,1,-0.021,11.02,12.66,1,1,3,1,-5,0,409,471,,142,228,0.02,32,39,0.036,93,64,0.063,110,77,44,-48,-21,12,45,10.9,15,4.1,0.6,0.005,13.5,7.1,-6.3,-0.81
2003,1,5,Wisconsin,81,12,Weber St.,74,Wisconsin,4.6,8.3,0,-2,2,-0.063,12.92,8.52,-2,4,3,1,-3,1,-135,-265,,-2,13,-0.005,12,-13,0.029,-143,-196,0.001,-19,-33,-32,10,64,-69,-123,13.19,3,-10.1,-4.6,-0.097,8.19,5.6,-2.6,-2.3
2003,1,6,Missouri,72,11,Southern Illinois,71,Missouri,-0.5,-0.7,2,-2,4,-0.107,6.3,7.78,-7,5,0,1,-5,2,82,118,75,23,158,-0.026,61,205,-0.026,-25,-3,-0.038,101,273,22,-60,48,69,-38,5.56,1.2,-4.4,-0.9,-0.02,9.17,3.6,-5.6,-0.38
2003,1,4,Stanford,77,13,San Diego,69,Stanford,-3.6,-5.6,3,6,-3,0.127,7.79,5.63,4,0,5,-2,-2,-3,126,87,115,86,299,-0.028,21,94,-0.023,-67,-113,0.013,95,132,-14,15,16,-66,16,6.25,5.1,-1.2,-5.3,0.063,3.89,1.4,-2.5,-2.28
2003,1,5,Connecticut,58,12,BYU,53,Connecticut,16.9,15.7,1,0,1,-0.022,2.21,2.34,-1,3,1,1,-1,1,323,319,40,199,403,0.006,2,-9,0.011,-77,-26,-0.078,133,273,74,-30,171,71,-84,1.86,2.2,0.3,5.7,0.036,3.26,0,-3.2,-8.68
2003,1,1,Arizona,80,16,Vermont,51,Arizona,3.1,1,-1,7,-8,0.239,24.74,13.8,6,-4,3,0,4,-7,450,151,-30,138,241,0.014,49,125,0.009,125,137,0.043,54,79,92,44,34,-11,39,25.23,14.5,-10.7,8.3,-0.026,13.83,7.9,-5.9,10.48
2003,1,2,Kansas,64,15,Utah St.,61,Kansas,8.8,2.9,5,6,-1,0.062,20.84,11.96,2,-4,3,-1,0,-4,944,562,,383,666,0.031,49,90,0.041,129,255,-0.058,136,435,182,205,123,156,105,21.21,7.9,-13.3,11.2,-0.02,13.84,7.5,-6.3,6.14
2003,1,3,Duke,67,14,Colorado St.,57,Duke,-1.6,-4.6,0,7,-7,0.212,14.48,3.97,6,-4,1,-4,0,-3,227,-65,5,21,248,-0.052,107,292,0.002,78,92,0.015,57,31,-70,107,29,-91,16,17.79,4.4,-13.3,3.6,-0.061,4.46,2.5,-1.9,4.09
