Year,Round,Fseed,Favored,Fscore,Useed,Underdog,Uscore,Winner
2004,2,3,Georgia Tech,57,6,Boston College,54,Georgia Tech
2004,2,4,Kansas,78,12,Pacific,63,Kansas
2004,2,3,North Carolina St.,73,6,Vanderbilt,75,Vanderbilt
2004,2,5,Illinois,92,4,Cincinnati,68,Illinois
2004,3,1,Saint Joseph's,84,4,Wake Forest,80,Saint Joseph's
2004,3,2,Oklahoma St.,63,3,Pittsburgh,51,Oklahoma St.
2004,3,2,Connecticut,73,6,Vanderbilt,53,Connecticut
2004,3,8,Alabama,80,5,Syracuse,71,Alabama
2004,3,3,Texas,71,7,Xavier,79,Xavier
2004,3,3,Georgia Tech,72,10,Nevada,67,Georgia Tech
2004,3,4,Kansas,100,9,UAB,74,Kansas
2004,3,1,Duke,72,5,Illinois,62,Duke
2004,4,2,Connecticut,87,8,Alabama,71,Connecticut
2004,4,1,Saint Joseph's,62,2,Oklahoma St.,64,Oklahoma St.
2004,4,3,Georgia Tech,79,4,Kansas,71,Georgia Tech
2004,4,1,Duke,66,7,Xavier,63,Duke
2004,5,1,Duke,78,2,Connecticut,79,Connecticut
2004,5,2,Oklahoma St.,65,3,Georgia Tech,67,Georgia Tech
2004,6,2,Connecticut,82,3,Georgia Tech,73,Connecticut
2005,PI,16,Oakland,79,16,Alabama A&M,69,Oakland
2005,1,5,Alabama,73,12,Milwaukee,83,Milwaukee
2005,1,6,LSU,68,11,UAB,82,UAB
2005,1,1,Illinois,67,16,Fairleigh Dickinson,55,Illinois
2005,1,3,Arizona,66,14,Utah St.,53,Arizona
2005,1,4,Boston College,85,13,Penn,65,Boston College
2005,1,2,Kentucky,72,15,Eastern Kentucky,64,Kentucky
2005,1,3,Oklahoma,84,14,Niagara,67,Oklahoma
2005,1,6,Utah,60,11,UTEP,54,Utah
2005,1,7,Cincinnati,76,10,Iowa,64,Cincinnati
2005,1,1,Washington,88,16,Montana,77,Washington
2005,1,2,Wake Forest,70,15,Chattanooga,54,Wake Forest
2005,1,3,Gonzaga,74,14,Winthrop,64,Gonzaga
2005,1,6,Texas Tech,78,11,UCLA,66,Texas Tech
2005,1,7,West Virginia,63,10,Creighton,61,West Virginia
2005,1,9,Pittsburgh,71,8,Pacific,79,Pacific
2005,1,8,Texas,57,9,Nevada,61,Nevada
2005,1,3,Kansas,63,14,Bucknell,64,Bucknell
2005,1,4,Syracuse,57,13,Vermont,60,Vermont
2005,1,1,North Carolina,96,16,Oakland,68,North Carolina
2005,1,2,Connecticut,77,15,UCF,71,Connecticut
2005,1,4,Florida,67,13,Ohio,62,Florida
2005,1,5,Villanova,55,12,New Mexico,47,Villanova
2005,1,6,Wisconsin,57,11,Northern Iowa,52,Wisconsin
2005,1,2,Oklahoma St.,63,15,Southeastern Louisiana,50,Oklahoma St.
